player_id,player_name,team_id,position,start_probability_pct,start_security,start_prob,start_prob_source,start_status,minutes_def_used,starts_def_used,nineties_def_used,min_pct_def_used,starts_per_ninety_used,base_start_score,start_reliability,minute_share_pf_used,starter_proxy_pf_used,merge_key,minute_share_pf,starter_proxy_pf,conditional_start_prob,availability_prob,availability_risk,availability_status
lucas_herrington__aus,Lucas Herrington,AUS,DEF,92,0.9204,0.9204,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8795,,,,lucas herrington||aus,,,0.97,0.7333,medium_risk,medium_risk
gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,55,0.5505,0.5505,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5485,,,,gonzalo montiel||arg,,,0.6129,0.7,medium_risk,medium_risk
nahuel_molina__arg,Nahuel Molina,ARG,DEF,66,0.6568,0.6568,transfermarkt_availability_split_2026_06_07,sikker starter - Transfermarkt landshold,,,,,,0.891,,,,nahuel molina||arg,,,0.9355,0.8642,low_risk,low_risk
jacob_italiano__aus,Jacob Italiano,AUS,DEF,40,0.4045,0.4045,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7116,,,,jacob italiano||aus,,,0.8,0.6842,medium_risk,medium_risk
jason_geria__aus,Jason Geria,AUS,DEF,12,0.1245,0.1245,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5529,,,,jason geria||aus,,,0.6429,0.6,high_risk,high_risk
kai_trewin__aus,Kai Trewin,AUS,DEF,58,0.5807,0.5807,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4417,,,,kai trewin||aus,,,0.5,0.6667,medium_risk,medium_risk
kye_rowles__aus,Kye Rowles,AUS,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6668,,,,kye rowles||aus,,,0.7179,0.7966,medium_risk,medium_risk
cameron_burgess__aus,Cameron Burgess,AUS,DEF,17,0.1661,0.1661,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7355,,,,cameron burgess||aus,,,0.7667,0.8837,low_risk,low_risk
alessandro_circati__aus,Alessandro Circati,AUS,DEF,86,0.8608,0.8608,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.6894,,,,alessandro circati||aus,,,0.7826,0.6596,medium_risk,medium_risk
jordan_bos__aus,Jordan Bos,AUS,DEF,37,0.3743,0.3743,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8285,,,,jordan bos||aus,,,0.9412,0.6579,medium_risk,medium_risk
callum_elder__aus,Callum Elder,AUS,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.2207,,,,callum elder||aus,,,0.2857,0.35,high_risk,high_risk
harry_souttar__aus,Harry Souttar,AUS,DEF,95,0.9494,0.9494,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
aziz_behich__aus,Aziz Behich,AUS,DEF,40,0.4,0.4,manual_context_override_safe,sandsynlig starter - Transfermarkt landshold,,,,,,0.7021,,,,aziz behich||aus,,,0.8,0.6503,high_risk,high_risk
milo_degenek__aus,Milos Degenek,AUS,DEF,14,0.1367,0.1367,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6269,,,,milos degenek||aus,,,0.6901,0.7383,medium_risk,medium_risk
douglas_santos__bra,Douglas Santos,BRA,DEF,55,0.55,0.55,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.43,,,,douglas santos||bra,,,0.5,0.6,high_risk,high_risk
marquinhos__bra,Marquinhos,BRA,DEF,90,0.9027,0.9027,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7639,,,,marquinhos||bra,,,0.8125,0.8293,medium_risk,medium_risk
alex_sandro__bra,Alex Sandro,BRA,DEF,34,0.3354,0.3354,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5519,,,,alex sandro||bra,,,0.6418,0.6,high_risk,high_risk
danilo_luiz_da_silva__bra,Danilo Luiz da Silva,BRA,DEF,37,0.3677,0.3677,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6378,,,,danilo luiz da silva||bra,,,0.7416,0.6,high_risk,high_risk
der_milit_o__bra,Eder Militão,BRA,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6505,,,,eder militao||bra,,,0.7042,0.7822,medium_risk,medium_risk
gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,DEF,37,0.3742,0.3742,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5221,,,,gabriel magalhaes||bra,,,0.6071,0.6,high_risk,high_risk
roger_ibanez__bra,Roger Ibanez,BRA,DEF,50,0.497,0.497,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3862,,,,roger ibanez||bra,,,0.5,0.35,high_risk,high_risk
wesley_franca__bra,Wesley Franca,BRA,DEF,63,0.6273,0.6273,transfermarkt_availability_split_2026_06_04,rotation/usikker - Transfermarkt landshold,,,,,,0.6273,,,,wesley franca||bra,,,0.7143,0.6522,medium_risk,medium_risk
bremer__bra,Bremer,BRA,DEF,28,0.2797,0.2797,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4009,,,,bremer||bra,,,0.4483,0.6981,medium_risk,medium_risk
leo_pereira__bra,Leo Pereira,BRA,DEF,45,0.45,0.45,manual_context_override_safe,sandsynlig starter - Transfermarkt landshold,,,,,,0.873,,,,leo pereira||bra,,,0.97,0.7143,unknown,unknown
clement_akpa__civ,Clement Akpa,CIV,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3215,,,,clement akpa||civ,,,0.375,0.5926,high_risk,high_risk
christopher_operi__civ,Christopher Operi,CIV,DEF,11,0.1095,0.1095,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
ghislain_konan__civ,Ghislain Konan,CIV,DEF,63,0.63,0.63,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.755,,,,ghislain konan||civ,,,0.871,0.6195,high_risk,high_risk
guela_doue__civ,Guela Doue,CIV,DEF,60,0.6,0.6,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7506,,,,guela doue||civ,,,0.8,0.8235,medium_risk,medium_risk
wilfried_stephane_singo__civ,Wilfried Stephane Singo,CIV,DEF,59,0.5937,0.5937,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7381,,,,wilfried stephane singo||civ,,,0.8462,0.6351,high_risk,high_risk
ousmane_diomande__civ,Ousmane Diomande,CIV,DEF,31,0.3111,0.3111,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4417,,,,ousmane diomande||civ,,,0.5,0.6667,medium_risk,medium_risk
emmanuel_agbadou__civ,Emmanuel Agbadou,CIV,DEF,54,0.537,0.537,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.43,,,,emmanuel agbadou||civ,,,0.5,0.6,high_risk,high_risk
odilon_kossounou__civ,Odilon Kossounou,CIV,DEF,37,0.3665,0.3665,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.6317,,,,odilon kossounou||civ,,,0.7174,0.6585,medium_risk,medium_risk
evan_n_dicka__civ,Evan N'Dicka,CIV,DEF,66,0.6561,0.6561,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7801,,,,evan n'dicka||civ,,,0.8438,0.7843,medium_risk,medium_risk
trent_alexander_arnold__eng,Trent Alexander-Arnold,ENG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
john_stones__eng,John Stones,ENG,DEF,66,0.6587,0.6587,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.7454,,,,john stones||eng,,,0.8302,0.7081,medium_risk,medium_risk
dan_burn__eng,Dan Burn,ENG,DEF,31,0.3064,0.3064,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.462,,,,dan burn||eng,,,0.5,0.7826,medium_risk,medium_risk
harry_maguire__eng,Harry Maguire,ENG,DEF,0,0.0,0.0,holdet_official_unmatched_default,,,,,,,,,,,,,,,,,
marc_gu_hi__eng,Marc Guehi,ENG,DEF,64,0.6351,0.6351,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.6708,,,,marc guehi||eng,,,0.75,0.6984,medium_risk,medium_risk
reece_james__eng,Reece James,ENG,DEF,32,0.3229,0.3229,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5931,,,,reece james||eng,,,0.6897,0.6,high_risk,high_risk
ezri_konsa__eng,Ezri Konsa,ENG,DEF,58,0.5823,0.5823,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.629,,,,ezri konsa||eng,,,0.68,0.7857,medium_risk,medium_risk
nico_o_reilly__eng,Nico O'Reilly,ENG,DEF,57,0.5659,0.5659,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5417,,,,nico o'reilly||eng,,,0.6,0.7222,medium_risk,medium_risk
djed_spence__eng,Djed Spence,ENG,DEF,59,0.5874,0.5874,transfermarkt_availability_split_2026_06_07,rotation/usikker - Transfermarkt landshold,,,,,,0.5214,,,,djed spence||eng,,,0.5714,0.75,medium_risk,medium_risk
jarell_quansah__eng,Jarell Quansah,ENG,DEF,49,0.4921,0.4921,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4327,,,,jarell quansah||eng,,,0.5,0.6154,high_risk,high_risk
lewis_hall__eng,Lewis Hall,ENG,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
valentino_livramento__eng,Valentino Livramento,ENG,DEF,29,0.2906,0.2906,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.4796,,,,valentino livramento||eng,,,0.5455,0.6552,medium_risk,medium_risk
jerome_opoku__gha,Jerome Opoku,GHA,DEF,30,0.2972,0.2972,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.3969,,,,jerome opoku||gha,,,0.4615,0.6,high_risk,high_risk
patric_pfeiffer__gha,Patric Pfeiffer,GHA,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sjældent startende - Transfermarkt landshold,,,,,,0.0438,,,,patric pfeiffer||gha,,,0.05,0.6429,unknown,unknown
kojo_peprah_oppong__gha,Kojo Peprah Oppong,GHA,DEF,34,0.3441,0.3441,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.6728,,,,kojo peprah oppong||gha,,,0.75,0.7059,medium_risk,medium_risk
alexander_djiku__gha,Alexander Djiku,GHA,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.8325,,,,alexander djiku||gha,,,0.9535,0.6375,high_risk,high_risk
alidu_seidu__gha,Alidu Seidu,GHA,DEF,36,0.3575,0.3575,transfermarkt_availability_split_2026_06_07,,,,,,,,,,,,,,,,,
derrick_kohn__gha,Derrick Köhn,GHA,DEF,0,0.0,0.0,transfermarkt_availability_split_2026_06_07,sandsynlig starter - Transfermarkt landshold,,,,,,0.6728,,,,derrick kohn||gha,,,0.75,0.7059,medium_risk,medium_risk
