player_id,player_name,team_id,position,pool_start_prob,pool_start_prob_source,ev_start_prob,ev_start_prob_source,start_prob_diff,minute_share,suspected_issue,recommended_action
alexander_isak__swe,Alexander Isak,SWE,FWD,0.8206,transfermarkt_availability_split_2026_06_04,0.8206,transfermarkt_availability_split_2026_06_01,0.0,0.0746,ok,No action.
michael_gregoritsch__aut,Michael Gregoritsch,AUT,FWD,0.7668,transfermarkt_availability_split_2026_06_04,0.7668,transfermarkt_availability_split_2026_06_01,0.0,0.069709,ok,No action.
james_rodr_guez__col,James Rodriguez,COL,MID,0.8875,transfermarkt_availability_split_2026_06_04,0.8875,transfermarkt_availability_split_2026_06_01,0.0,0.080682,ok,No action.
jordan_pickford__eng,Jordan Pickford,ENG,GK,0.78,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.78,transfermarkt_availability_split_2026_06_04+gk_hierarchy_normalized,0.0,0.070909,ok,No action.
gabriel_martinelli__bra,Gabriel Martinelli,BRA,FWD,0.6448,transfermarkt_availability_split_2026_06_04,0.6448,transfermarkt_availability_split_2026_06_01,0.0,0.058618,ok,No action.
francisco_concei_o__por,Francisco Conceicao,POR,FWD,0.585,transfermarkt_availability_split_2026_06_04,0.585,transfermarkt_availability_split_2026_06_01,0.0,0.053182,ok,No action.
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,0.8078,transfermarkt_availability_split_2026_06_04,0.8078,transfermarkt_availability_split_2026_06_01,0.0,0.073436,ok,No action.
max_arfsten__usa,Max Arfsten,USA,DEF,0.8217,transfermarkt_availability_split_2026_06_04,0.8217,transfermarkt_availability_split_2026_06_01,0.0,0.0747,ok,No action.
john_stones__eng,John Stones,ENG,DEF,0.7454,transfermarkt_availability_split_2026_06_04,0.7454,transfermarkt_availability_split_2026_06_01,0.0,0.067764,ok,No action.
riyad_mahrez__alg,Riyad Mahrez,ALG,FWD,0.858,transfermarkt_availability_split_2026_06_04,0.858,transfermarkt_availability_split_2026_06_01,0.0,0.078,ok,No action.
leo_pereira__bra,Leo Pereira,BRA,DEF,0.873,transfermarkt_availability_split_2026_06_04,0.873,transfermarkt_availability_split_2026_06_01,0.0,0.079364,ok,No action.
