player_id,player_name,team_id,position,start_prob,minute_share,match_1_start_minutes_ev,match_1_goal_ev,match_1_assist_ev,match_1_shots_on_target_ev,match_1_weighted_match_ev,weighted_group_stage_ev,component_source,component_recomputed,suspected_issue
alexander_schlager__aut,Alexander Schlager,AUT,GK,0.921,0.083727,73.260945,0.0,0.0,0.0,1.4956,2.904689,existing_components,no,ok
kamal_miller__can,Kamal Miller,CAN,DEF,0.8008,0.0728,59.693234,0.023213,0.023311,0.007066,1.043497,2.898537,existing_components,yes,ok
joel_ord_ez__ecu,Joel Ordonez,ECU,DEF,0.8366,0.076055,63.277078,0.01774,0.019745,0.005976,1.029912,2.895343,existing_components,yes,ok
der_milit_o__bra,Eder Militão,BRA,DEF,0.6282,0.057109,47.169653,0.01733,0.017944,0.004744,0.930026,2.892306,existing_components,yes,ok
dayot_upamecano__fra,Dayot Upamecano,FRA,DEF,0.6508,0.059164,48.554886,0.017633,0.015116,0.0043,0.978967,2.880737,existing_components,yes,ok
gon_alo_ramos__por,Goncalo Ramos,POR,FWD,0.7482,0.068018,49.650552,0.178064,0.064119,0.109426,1.168485,2.869582,existing_components,yes,ok
zion_suzuki__jpn,Zion Suzuki,JPN,GK,0.9433,0.085755,75.293263,0.0,0.0,0.0,0.657422,2.869266,existing_components,yes,ok
jo_o_cancelo__por,João Cancelo,POR,DEF,0.6475,0.058864,48.1481,0.015049,0.017203,0.002753,1.005126,2.861414,existing_components,no,ok
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,DEF,0.6441,0.058555,48.190918,0.02049,0.017567,0.004997,1.061377,2.854316,existing_components,yes,ok
leo_pereira__bra,Leo Pereira,BRA,DEF,0.7,0.063636,,,,,0.92182,2.850774,existing_components,yes,ok
alphonso_davies__can,Alphonso Davies,CAN,DEF,0.892,0.081091,,,,,1.001899,2.843284,existing_components,yes,ok
pedro_neto__por,Pedro Neto,POR,FWD,0.5894,0.053582,39.433218,0.16196,0.066461,0.104058,1.102543,2.837192,existing_components,no,ok
ibrahima_konat__fra,Ibrahima Konate,FRA,DEF,0.6172,0.056109,46.309133,0.019334,0.016576,0.004547,0.968231,2.82908,existing_components,yes,ok
nayef_aguerd__mar,Nayef Aguerd,MAR,DEF,0.8342,0.075836,63.095551,0.008201,0.018113,0.006004,0.445198,2.820448,existing_components,yes,ok
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,0.8511,0.077373,63.883566,0.00752,0.015685,0.014482,0.449201,2.806512,existing_components,yes,ok
maxime_cr_peau__can,Maxime Crepeau,CAN,GK,0.7355,0.066864,58.408997,0.0,0.0,0.0,0.984491,2.792146,existing_components,yes,ok
ferr_n_torres__esp,Ferran Torres,ESP,FWD,0.5692,0.051745,37.772112,0.112595,0.048265,0.068284,0.888192,2.780665,existing_components,no,ok
ronald_ara_jo__uru,Ronald Araujo,URU,DEF,0.844,0.076727,62.803728,0.019793,0.017057,0.005549,1.193026,2.770867,existing_components,yes,ok
martin_baturina__cro,Martin Baturina,CRO,MID,0.5733,0.052118,38.393901,0.04871,0.031367,0.0917,0.448384,2.767128,existing_components,yes,ok
alexander_s_rloth__nor,Alexander Sørloth,NOR,FWD,0.8805,0.080045,58.473125,0.187096,0.067539,0.129676,1.25329,2.766437,existing_components,yes,ok
gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,DEF,0.6041,0.054918,45.123249,0.01565,0.015426,0.003535,0.890501,2.753006,existing_components,yes,ok
everardo_lopez__mex,Everardo Lopez,MEX,DEF,0.7873,0.071573,,,,,1.122047,2.74146,existing_components,yes,ok
jamal_musiala__ger,Jamal Musiala,GER,MID,0.8928,0.081164,63.195062,0.121018,0.098094,0.04467,1.16224,2.736505,existing_components,yes,ok
enzo_fern_ndez__arg,Enzo Fernandez,ARG,MID,0.8911,0.081009,62.792253,0.106352,0.09118,0.046685,1.007298,2.723022,existing_components,no,ok
bernardo_silva__por,Bernardo Silva,POR,MID,0.8893,0.080845,63.221226,0.117261,0.10891,0.041821,1.117099,2.718415,existing_components,yes,ok
john_stones__eng,John Stones,ENG,DEF,0.6535,0.059409,48.828213,0.014733,0.015044,0.004124,0.848732,2.71814,existing_components,yes,ok
yassine_bono_bounou__mar,Yassine 'Bono' Bounou,MAR,GK,0.7955,0.072318,,,,,0.473415,2.716085,existing_components,yes,ok
fabian_rieder__sui,Fabian Rieder,SUI,MID,0.5779,0.052536,38.670756,0.120914,0.043081,0.081854,0.984352,2.709041,existing_components,yes,ok
jules_kounde__fra,Jules Kounde,FRA,DEF,0.6814,0.061945,,,,,0.907738,2.702044,existing_components,yes,ok
zeki_elik__tur,Zeki Celik,TUR,DEF,0.8502,0.077291,63.611114,0.023031,0.023101,0.006976,1.083813,2.681623,existing_components,yes,ok
