team_id,player_id,player_name,raw_start_prob,raw_start_prob_source,competitive_starts,recent_starts,availability_prob,context_override,team_gk_rank,normalized_gk_start_prob,normalized_prob_sum_team,repair_reason
CPV,vozinha__cpv,Vozinha,0.6776,transfermarkt_availability_split_2026_06_06,87.0,10,0.8701,,1,0.9285,1.0,team_gk_exclusive_normalization
CRO,dominik_livakovi__cro,Dominik Livakovic,0.9253,transfermarkt_availability_split_2026_06_06,74.0,11,0.9474,,1,0.9486,1.0,team_gk_exclusive_normalization
CRO,dominik_kotarski__cro,Dominik Kotarski,0.2355,transfermarkt_availability_split_2026_06_06,2.0,1,0.6,,2,0.0263,1.0,team_gk_exclusive_normalization
CRO,ivor_pandur__cro,Ivor Pandur,0.0476,transfermarkt_availability_split_2026_06_06,0.0,,0.8611,,3,0.0251,1.0,team_gk_exclusive_normalization
CUW,eloy_room__cuw,Eloy Room,0.9126,transfermarkt_availability_split_2026_06_06,68.0,,0.8308,,1,0.9495,1.0,team_gk_exclusive_normalization
CUW,tyrick_bodak__cuw,Tyrick Bodak,0.0434,transfermarkt_availability_split_2026_06_06,4.0,0,0.6254,,3,0.0251,1.0,team_gk_exclusive_normalization
CUW,trevor_doornbusch__cuw,Trevor Doornbusch,0.048,transfermarkt_availability_split_2026_06_06,6.0,0,0.8867,,2,0.0254,1.0,team_gk_exclusive_normalization
CZE,lukas_hornicek__cze,Lukas Hornicek,0.2786,transfermarkt_availability_split_2026_06_06,1.0,,0.878,,2,0.0626,1.0,team_gk_exclusive_normalization
CZE,martin_jedlicka__cze,Martin Jedlicka,0.0469,transfermarkt_availability_split_2026_06_06,1.0,,0.8207,,3,0.0251,1.0,team_gk_exclusive_normalization
CZE,matej_kovar__cze,Matej Kovar,0.652,transfermarkt_availability_split_2026_06_06,19.0,,0.9516,,1,0.9123,1.0,team_gk_exclusive_normalization
ECU,hern_n_gal_ndez__ecu,Hernan Galindez,0.6165,transfermarkt_availability_split_2026_06_06,34.0,9,0.9208,,2,0.2503,1.0,team_gk_exclusive_normalization
ECU,moises_ramirez__ecu,Moises Ramirez,0.2559,transfermarkt_availability_split_2026_06_06,7.0,,0.8426,,4,0.0355,1.0,team_gk_exclusive_normalization
ECU,david_cabezas__ecu,David Cabezas,0.8464,transfermarkt_availability_split_2026_06_06,8.0,,0.6444,,1,0.6671,1.0,team_gk_exclusive_normalization
ECU,gonzalo_valle__ecu,Gonzalo Valle,0.2927,transfermarkt_availability_split_2026_06_06,3.0,3,0.8492,,3,0.0471,1.0,team_gk_exclusive_normalization
EGY,el_mahdi_soliman__egy,El Mahdi Soliman,0.0455,transfermarkt_availability_split_2026_06_06,0.0,,0.7448,,3,0.015,0.9999,team_gk_exclusive_normalization
EGY,mohamed_alaa__egy,Mohamed Alaa,0.047,transfermarkt_availability_split_2026_06_06,0.0,,0.8288,,4,0.015,0.9999,team_gk_exclusive_normalization
EGY,oufa_shobeir__egy,Mostafa Oufa Shobeir,0.7426,transfermarkt_availability_split_2026_06_06,6.0,,0.8586,,1,0.4955,0.9999,team_gk_exclusive_normalization
EGY,mohamed_el_shenawy__egy,Mohamed El-Shennawy,0.4746,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,114.0,12,0.6618,,2,0.4744,0.9999,team_gk_exclusive_normalization
ENG,dean_henderson__eng,Dean Henderson,0.2412,transfermarkt_availability_split_2026_06_06,3.0,2,0.7317,,2,0.0718,1.0,team_gk_exclusive_normalization
ENG,jordan_pickford__eng,Jordan Pickford,0.4557,transfermarkt_availability_split_2026_06_06,82.0,9,0.9414,,1,0.8648,1.0,team_gk_exclusive_normalization
ENG,james_trafford__eng,James Trafford,0.2529,transfermarkt_availability_split_2026_06_06,1.0,1,0.9258,,3,0.0634,1.0,team_gk_exclusive_normalization
ESP,david_raya__esp,David Raya,0.2926,transfermarkt_availability_split_2026_06_06,11.0,1,0.8901,,2,0.0991,0.9999,team_gk_exclusive_normalization
