match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group,home_win_prob_fair,draw_prob_fair,away_win_prob_fair,home_win_pct_fair,draw_pct_fair,away_win_pct_fair,home_win_prob,draw_prob,away_win_prob,home_win_pct,draw_pct,away_win_pct
38,BEL,IRN,2026-06-21 21:00,1.38,5.30,9.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.711419,0.185238,0.103343,71.14,18.52,10.33,0.711419,0.185238,0.103343,71.14,18.52,10.33
39,URU,CPV,2026-06-22 00:00,1.47,4.60,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.665196,0.212574,0.122230,66.52,21.26,12.22,0.665196,0.212574,0.122230,66.52,21.26,12.22
39,URU,CPV,2026-06-22 00:00,1.47,4.60,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.665196,0.212574,0.122230,66.52,21.26,12.22,0.665196,0.212574,0.122230,66.52,21.26,12.22
40,NZL,EGY,2026-06-22 03:00,5.40,3.70,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.180337,0.263195,0.556468,18.03,26.32,55.65,0.180337,0.263195,0.556468,18.03,26.32,55.65
40,NZL,EGY,2026-06-22 03:00,5.40,3.70,1.75,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.180337,0.263195,0.556468,18.03,26.32,55.65,0.180337,0.263195,0.556468,18.03,26.32,55.65
41,ARG,AUT,2026-06-22 19:00,1.64,4.00,5.80,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.590752,0.242208,0.167040,59.08,24.22,16.70,0.590752,0.242208,0.167040,59.08,24.22,16.70
41,ARG,AUT,2026-06-22 19:00,1.64,4.00,5.80,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.590752,0.242208,0.167040,59.08,24.22,16.70,0.590752,0.242208,0.167040,59.08,24.22,16.70
42,FRA,IRQ,2026-06-22 23:00,1.13,10.50,25.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.867439,0.093353,0.039208,86.74,9.34,3.92,0.867439,0.093353,0.039208,86.74,9.34,3.92
42,FRA,IRQ,2026-06-22 23:00,1.13,10.50,25.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.867439,0.093353,0.039208,86.74,9.34,3.92,0.867439,0.093353,0.039208,86.74,9.34,3.92
43,NOR,SEN,2026-06-23 02:00,2.18,3.55,3.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.447039,0.274520,0.278441,44.70,27.45,27.84,0.447039,0.274520,0.278441,44.70,27.45,27.84
43,NOR,SEN,2026-06-23 02:00,2.18,3.55,3.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.447039,0.274520,0.278441,44.70,27.45,27.84,0.447039,0.274520,0.278441,44.70,27.45,27.84
44,JOR,ALG,2026-06-23 05:00,7.00,4.50,1.52,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.139649,0.217232,0.643120,13.96,21.72,64.31,0.139649,0.217232,0.643120,13.96,21.72,64.31
44,JOR,ALG,2026-06-23 05:00,7.00,4.50,1.52,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.139649,0.217232,0.643120,13.96,21.72,64.31,0.139649,0.217232,0.643120,13.96,21.72,64.31
45,POR,UZB,2026-06-23 19:00,1.28,6.25,13.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.767306,0.157144,0.075550,76.73,15.71,7.56,0.767306,0.157144,0.075550,76.73,15.71,7.56
45,POR,UZB,2026-06-23 19:00,1.28,6.25,13.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.767306,0.157144,0.075550,76.73,15.71,7.56,0.767306,0.157144,0.075550,76.73,15.71,7.56
46,ENG,GHA,2026-06-23 22:00,1.36,5.10,10.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.712928,0.190114,0.096958,71.29,19.01,9.70,0.712928,0.190114,0.096958,71.29,19.01,9.70
46,ENG,GHA,2026-06-23 22:00,1.36,5.10,10.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.712928,0.190114,0.096958,71.29,19.01,9.70,0.712928,0.190114,0.096958,71.29,19.01,9.70
47,PAN,CRO,2026-06-24 01:00,6.75,4.00,1.58,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.143685,0.242469,0.613846,14.37,24.25,61.38,0.143685,0.242469,0.613846,14.37,24.25,61.38
47,PAN,CRO,2026-06-24 01:00,6.75,4.00,1.58,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.143685,0.242469,0.613846,14.37,24.25,61.38,0.143685,0.242469,0.613846,14.37,24.25,61.38
48,COL,COD,2026-06-24 04:00,1.49,4.30,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.652417,0.226070,0.121513,65.24,22.61,12.15,0.652417,0.226070,0.121513,65.24,22.61,12.15
48,COL,COD,2026-06-24 04:00,1.49,4.30,8.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.652417,0.226070,0.121513,65.24,22.61,12.15,0.652417,0.226070,0.121513,65.24,22.61,12.15
49,SUI,CAN,2026-06-24 21:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.446345,0.284626,0.269030,44.63,28.46,26.90,0.446345,0.284626,0.269030,44.63,28.46,26.90
49,SUI,CAN,2026-06-24 21:00,2.20,3.45,3.65,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.446345,0.284626,0.269030,44.63,28.46,26.90,0.446345,0.284626,0.269030,44.63,28.46,26.90
50,BIH,QAT,2026-06-24 21:00,1.54,4.20,7.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.630252,0.231092,0.138655,63.03,23.11,13.87,0.630252,0.231092,0.138655,63.03,23.11,13.87
50,BIH,QAT,2026-06-24 21:00,1.54,4.20,7.00,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.630252,0.231092,0.138655,63.03,23.11,13.87,0.630252,0.231092,0.138655,63.03,23.11,13.87
51,SCO,BRA,2026-06-25 00:00,7.00,4.90,1.44,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.137180,0.195972,0.666848,13.72,19.60,66.68,0.137180,0.195972,0.666848,13.72,19.60,66.68
51,SCO,BRA,2026-06-25 00:00,7.00,4.90,1.44,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.137180,0.195972,0.666848,13.72,19.60,66.68,0.137180,0.195972,0.666848,13.72,19.60,66.68
52,MAR,HAI,2026-06-25 00:00,1.30,5.75,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.740798,0.167485,0.091718,74.08,16.75,9.17,0.740798,0.167485,0.091718,74.08,16.75,9.17
52,MAR,HAI,2026-06-25 00:00,1.30,5.75,10.50,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.740798,0.167485,0.091718,74.08,16.75,9.17,0.740798,0.167485,0.091718,74.08,16.75,9.17
53,CZE,MEX,2026-06-25 03:00,5.00,3.65,1.80,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,,0.194264,0.266115,0.539622,19.43,26.61,53.96,0.194264,0.266115,0.539622,19.43,26.61,53.96
