player_id,player_name,team_name,position,old_holdet_price,new_holdet_price,diff
sebastian_tounekti__tun,Sebastian Tounekti,Tunesien,MID,2000000.0,1983000.0,-17000.0
hannibal_mejbri__tun,Hannibal Mejbri,Tunesien,MID,3000000.0,3029000.0,29000.0
isma_l_gharbi__tun,Ismael Gharbi,Tunesien,MID,2500000.0,2483000.0,-17000.0
mohamed_haj_mahmoud__tun,Mohamed 'Hadj' Mahmoud,Tunesien,MID,2000000.0,1995000.0,-5000.0
tahith_chong__cuw,Tahith Chong,Curaçao,MID,2000000.0,1961000.0,-39000.0
juninho_bacuna__cuw,Juninho Bacuna,Curaçao,MID,3000000.0,2953000.0,-47000.0
kevin_felida__cuw,Kevin Felida,Curaçao,MID,2000000.0,1995000.0,-5000.0
tyrese_noslin__cuw,Tyrese Noslin,Curaçao,MID,2000000.0,1995000.0,-5000.0
leandro_bacuna__cuw,Leandro Bacuna,Curaçao,MID,2500000.0,2453000.0,-47000.0
godfried_roemeratoe__cuw,Godfried Roemeratoe,Curaçao,MID,2000000.0,1995000.0,-5000.0
ar_jany_martha__cuw,Ar'jany Martha,Curaçao,FWD,2000000.0,1995000.0,-5000.0
sontje_hansen__cuw,Sontje Hansen,Curaçao,FWD,2000000.0,1995000.0,-5000.0
jurgen_locadia__cuw,Jürgen Locadia,Curaçao,FWD,2000000.0,1977000.0,-23000.0
brandley_kuwas__cuw,Brandley Kuwas,Curaçao,FWD,2000000.0,1995000.0,-5000.0
gervane_kastaneer__cuw,Gervane Kastaneer,Curaçao,FWD,2500000.0,2491000.0,-9000.0
jeremy_antonisse__cuw,Jeremy Antonisse,Curaçao,FWD,2000000.0,1967000.0,-33000.0
jearl_margaritha__cuw,Jearl Margaritha,Curaçao,FWD,3000000.0,2975000.0,-25000.0
kenji_gorr__cuw,Kenji Gorre,Curaçao,FWD,2500000.0,2495000.0,-5000.0
hazem_mastouri__tun,Hazem Mastouri,Tunesien,FWD,3500000.0,3495000.0,-5000.0
firas_chaouat__tun,Firas Chaouat,Tunesien,FWD,2500000.0,2483000.0,-17000.0
rayan_elloumi__tun,Rayan Elloumi,Tunesien,FWD,2000000.0,1995000.0,-5000.0
jordy_caicedo__ecu,Jordy Caicedo,Ecuador,FWD,2500000.0,2495000.0,-5000.0
jeremy_ar_valo__ecu,Jeremy Arevalo,Ecuador,FWD,2000000.0,1995000.0,-5000.0
enner_valencia__ecu,Enner Valencia,Ecuador,FWD,4000000.0,3999000.0,-1000.0
kevin_rodr_guez__ecu,Kevin Rodriguez,Ecuador,FWD,3000000.0,2991000.0,-9000.0
nilson_angulo__ecu,Nilson Angulo,Ecuador,FWD,2000000.0,1991000.0,-9000.0
anthony_valencia__ecu,Anthony Valencia,Ecuador,FWD,2000000.0,1995000.0,-5000.0
yuito_suzuki__jpn,Yuito Suzuki,Japan,FWD,2500000.0,2495000.0,-5000.0
shuto_machino__jpn,Shuto Machino,Japan,FWD,2500000.0,2495000.0,-5000.0
koki_ogawa__jpn,Koki Ogawa,Japan,FWD,4000000.0,4082000.0,82000.0
ayase_ueda__jpn,Ayase Ueda,Japan,FWD,5500000.0,5506000.0,6000.0
daizen_maeda__jpn,Daizen Maeda,Japan,FWD,2500000.0,2506000.0,6000.0
kento_shiogai__jpn,Kento Shiogai,Japan,FWD,2500000.0,2522000.0,22000.0
keisuke_goto__jpn,Keisuke Goto,Japan,FWD,2500000.0,2495000.0,-5000.0
ange_yoan_bonny__civ,Ange-Yoan Bonny,Elfenbenskysten,FWD,2500000.0,2542000.0,42000.0
evann_guessand__civ,Evann Guessand,Elfenbenskysten,FWD,3000000.0,2995000.0,-5000.0
nicolas_pepe__civ,Nicolas Pepe,Elfenbenskysten,FWD,2500000.0,2532000.0,32000.0
amad_diallo__civ,Amad Diallo,Elfenbenskysten,FWD,3500000.0,3717000.0,217000.0
simon_adingra__civ,Simon Adingra,Elfenbenskysten,FWD,2500000.0,2495000.0,-5000.0
oumar_diakite__civ,Oumar Diakite,Elfenbenskysten,FWD,2500000.0,2495000.0,-5000.0
elye_wahi__civ,Elye Wahi,Elfenbenskysten,FWD,2500000.0,2542000.0,42000.0
bazoumana_toure__civ,Bazoumana Toure,Elfenbenskysten,FWD,2000000.0,2032000.0,32000.0
yan_diomande__civ,Yan Diomande,Elfenbenskysten,FWD,3000000.0,3075000.0,75000.0
anthony_elanga__swe,Anthony Elanga,Sverige,FWD,3500000.0,3542000.0,42000.0
viktor_gyokeres__swe,Viktor Gyökeres,Sverige,FWD,6000000.0,6269000.0,269000.0
benjamin_nygren__swe,Benjamin Nygren,Sverige,FWD,3000000.0,3054000.0,54000.0
alexander_isak__swe,Alexander Isak,Sverige,FWD,5000000.0,5392000.0,392000.0
gustaf_nilsson__swe,Gustaf Nilsson,Sverige,FWD,2000000.0,1995000.0,-5000.0
noa_lang__ned,Noa Lang,Holland,FWD,3000000.0,2995000.0,-5000.0
cody_gakpo__ned,Cody Gakpo,Holland,FWD,6500000.0,6534000.0,34000.0
donyell_malen__ned,Donyell Malen,Holland,FWD,4500000.0,4544000.0,44000.0
brian_brobbey__ned,Brian Brobbey,Holland,FWD,2500000.0,2504000.0,4000.0
wout_weghorst__ned,Wout Weghorst,Holland,FWD,3000000.0,2995000.0,-5000.0
memphis_depay__ned,Memphis Depay,Holland,FWD,4000000.0,3984000.0,-16000.0
maximilian_beier__ger,Maximilian Beier,Tyskland,FWD,2500000.0,2495000.0,-5000.0
nick_woltemade__ger,Nick Woltemade,Tyskland,FWD,6000000.0,5995000.0,-5000.0
deniz_undav__ger,Deniz Undav,Tyskland,FWD,3500000.0,3807000.0,307000.0
kai_havertz__ger,Kai Havertz,Tyskland,FWD,5500000.0,5877000.0,377000.0
leroy_san__ger,Leroy Sane,Tyskland,FWD,5500000.0,5594000.0,94000.0
lutsharel_geertruida__ned,Lutsharel Geertruida,Holland,DEF,2500000.0,2495000.0,-5000.0
