player_id,player_name,team_id,position,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,start_prob_source,minute_share,weighted_group_stage_ev,total_ev_group_stage,team_ev_share,team_position_ev_share,team_position_rank,position_slot_target,inside_expected_slot_band,start_signal_raw,start_signal_rank_adjusted,start_signal_tier
paul_izzo__aus,Paul Izzo,AUS,GK,0.0271,0.0271,0.0,0.9378,medium_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.002464,0.097539,0.161276,0.004823240325036523,0.0449912060063922,2,1,0,0.027850282616891046,0.027850282616891046,Langt fra start
patrick_beach__aus,Patrick Beach,AUS,GK,0.0266,0.0266,0.0,0.8611,medium_risk,,transfermarkt_availability_split_2026_06_05+gk_hierarchy_normalized,0.002418,0.088821,0.145009,0.00439214087606054,0.040969908536008785,3,1,0,0.026998597897403907,0.0,Langt fra start
connor_metcalfe__aus,Connor Metcalfe,AUS,MID,0.8821,0.9511,0.0,0.7927,medium_risk,,transfermarkt_availability_split_2026_06_05,0.080191,1.667714,1.419243,0.0824673762846447,0.37340773511984793,1,4,1,0.833337899442528,0.883337899442528,Klar starter
aiden_o_neill__aus,Aiden O'Neill,AUS,MID,0.8776,0.9018,0.0,0.9236,low_risk,,transfermarkt_availability_split_2026_06_05,0.079782,1.3441,1.516973,0.06646487375184891,0.3009492855337232,2,4,1,0.8208607808530132,0.8708607808530132,Klar starter
riley_mcgree__aus,Riley McGree,AUS,MID,0.5538,0.6049,0.0,0.7588,medium_risk,,transfermarkt_availability_split_2026_06_05,0.050345,0.812986,0.720619,0.040201630720943855,0.1820307684316044,3,4,1,0.517074766298168,0.567074766298168,Tvivlsom starter
ajdin_hrustic__aus,Ajdin Hrustic,AUS,MID,0.3092,0.3596,0.0,0.6,high_risk,,transfermarkt_availability_split_2026_06_05,0.028109,0.354335,0.49209,0.017521636069385747,0.07933700252183008,4,4,1,0.28609642115843487,0.33609642115843485,Langt fra start
paul_okon_engstler__aus,Paul Okon-Engstler,AUS,MID,0.0476,0.05,0.0,0.8611,medium_risk,,transfermarkt_availability_split_2026_06_05,0.004327,0.214968,0.384911,0.01063002825733759,0.04813218213869013,5,4,0,0.048230405608072686,0.048230405608072686,Langt fra start
patrick_yazbek__aus,Patrick Yazbek,AUS,MID,0.0435,0.05,0.0,0.63,high_risk,,transfermarkt_availability_split_2026_06_05,0.003955,0.072098,0.112667,0.003565199365940631,0.016143026254304273,6,4,0,0.04083194072341383,0.0,Langt fra start
alexander_alex_robertson__aus,Alexander 'Alex' Robertson,AUS,MID,0.0386,0.05,0.0,0.35,high_risk,,transfermarkt_availability_split_2026_06_05,0.003509,0.0,0.0,0.0,0.0,7,4,0,0.03456075,0.0,Langt fra start
phillipp_mwene__aut,Phillipp Mwene,AUT,DEF,0.76,0.82,0.95,0.93,medium_risk,medium,transfermarkt_availability_split_2026_06_05+context_override,0.069091,2.302027,2.751299,0.0670394700880353,0.17257134358259155,1,4,1,0.6686821078626609,0.718682107862661,Sandsynlig starter
