team_id,position,team_position_start_rank,player_name,price_m,start_prob,conditional_start_prob,availability_risk,round_specific_rotation_risk,match_1_opponent_team,weighted_group_stage_ev,optimizer_ev,start_prob_source,source_note
NOR,FWD,1,Erling Haaland,8.5,0.9058,0.97,medium_risk,,IRQ,4.241624,4.241624,transfermarkt_availability_split_2026_06_07,
NOR,FWD,2,Alexander Sørloth,4.5,0.8805,0.9352,medium_risk,,IRQ,3.452912,3.452912,transfermarkt_availability_split_2026_06_07,
NOR,GK,1,Ørjan Nyland,4.0,0.9496,0.9496,low_risk,,IRQ,3.346627,3.346627,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
NOR,MID,1,Sander Berge,3.0,0.934,0.9597,low_risk,,IRQ,2.384367,2.384367,transfermarkt_availability_split_2026_06_07,
NOR,MID,2,Martin Ødegaard,4.5,0.8841,0.97,medium_risk,,IRQ,2.593366,2.593366,transfermarkt_availability_split_2026_06_07,
NOR,MID,3,Antonio Nusa,3.5,0.82,0.88,medium_risk,medium,IRQ,3.63366,3.63366,manual_context_override_safe,"Manual context review: likely Norway starter based on recent starts, minutes and expected-lineup assessment."
NOR,MID,4,Fredrik Aursnes,3.0,0.7786,0.9054,high_risk,,IRQ,1.330937,1.330937,transfermarkt_availability_split_2026_06_07,
NZL,DEF,1,Finn Surman,2.0,0.8854,0.934,low_risk,,IRN,1.475822,1.475822,transfermarkt_availability_split_2026_06_07,
NZL,DEF,2,Liberato Cacace,2.5,0.8554,0.97,medium_risk,,IRN,1.637832,1.637832,transfermarkt_availability_split_2026_06_07,
NZL,DEF,3,Tim Payne,2.5,0.853,0.9379,medium_risk,,IRN,1.630865,1.630865,transfermarkt_availability_split_2026_06_07,
NZL,DEF,4,Tyler Bindon,2.5,0.6587,0.6767,medium_risk,,IRN,1.380543,1.380543,transfermarkt_availability_split_2026_06_07,
NZL,FWD,1,Chris Wood,3.5,0.8446,0.9262,medium_risk,,IRN,2.16587,2.16587,transfermarkt_availability_split_2026_06_07,
NZL,MID,1,Marko Stamenic,2.5,0.9032,0.97,medium_risk,,IRN,1.244093,1.244093,transfermarkt_availability_split_2026_06_07,
NZL,MID,2,Elijah Just,3.0,0.8876,0.9248,low_risk,,IRN,1.274361,1.274361,transfermarkt_availability_split_2026_06_07,
NZL,MID,3,Sarpreet Singh,2.5,0.8587,0.97,medium_risk,,IRN,1.322944,1.322944,transfermarkt_availability_split_2026_06_07,
NZL,MID,4,Joe Bell,2.5,0.6207,0.6986,medium_risk,,IRN,0.796691,0.796691,transfermarkt_availability_split_2026_06_07,
NZL,MID,5,Ryan Thomas,2.5,0.6186,0.7193,high_risk,,IRN,0.84748,0.84748,transfermarkt_availability_split_2026_06_07,
PAN,DEF,1,Jorge Gutierrez,2.5,0.914,,,,GHA,1.908621,1.908621,name+team,
PAN,DEF,2,Michael Amir Murillo,2.5,0.654,0.709,medium_risk,,GHA,1.577697,1.577697,transfermarkt_availability_split_2026_06_07,
PAN,DEF,3,Andres Andrade,2.5,0.6362,0.7031,medium_risk,,GHA,1.31569,1.31569,transfermarkt_availability_split_2026_06_07,
PAN,GK,1,Orlando Mosquera,2.5,0.8542,0.8542,medium_risk,,GHA,1.228378,1.228378,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
PAN,MID,1,Cristian Martinez,2.5,0.709,,,,GHA,1.363156,1.363156,name+team,
PAN,MID,2,Anibal Godoy,2.5,0.6321,0.6962,medium_risk,,GHA,1.207036,1.207036,transfermarkt_availability_split_2026_06_07,
PAN,MID,3,Adalberto Carrasquilla,2.5,0.6309,0.7195,high_risk,,GHA,0.483836,0.483836,transfermarkt_availability_split_2026_06_07,
PAN,MID,4,Yoel Barcenas,2.0,0.6304,0.706,medium_risk,,GHA,0.427021,0.427021,transfermarkt_availability_split_2026_06_07,
PAN,MID,5,Jose Luis Rodriguez Francis,2.5,0.6182,0.6672,medium_risk,,GHA,0.423536,0.423536,transfermarkt_availability_split_2026_06_07,
PAR,DEF,1,Gustavo Gomez,3.0,0.9027,0.9457,low_risk,,USA,2.548217,2.548217,transfermarkt_availability_split_2026_06_07,
PAR,DEF,2,Junior Alonso,3.0,0.8733,0.9337,medium_risk,,USA,2.512669,2.512669,transfermarkt_availability_split_2026_06_07,
PAR,DEF,3,Omar Alderete,3.5,0.8699,0.939,medium_risk,,USA,2.68026,2.68026,transfermarkt_availability_split_2026_06_07,
PAR,DEF,4,Juan Jose Caceres,3.0,0.6453,0.6757,medium_risk,,USA,1.863845,1.863845,transfermarkt_availability_split_2026_06_07,
PAR,FWD,1,Julio Enciso,3.5,0.8565,0.9361,medium_risk,,USA,2.710667,2.710667,transfermarkt_availability_split_2026_06_07,
PAR,MID,1,Miguel Almiron,3.5,0.9133,0.97,medium_risk,,USA,2.560175,2.560175,transfermarkt_availability_split_2026_06_07,
PAR,MID,2,Diego Gomez,3.0,0.9002,0.9634,medium_risk,,USA,2.14853,2.14853,transfermarkt_availability_split_2026_06_07,
PAR,MID,3,Andres Cubas,2.5,0.6302,0.7232,high_risk,,USA,1.147866,1.147866,transfermarkt_availability_split_2026_06_07,
PAR,MID,4,Damian Bobadilla,2.5,0.6047,0.6238,medium_risk,,USA,1.348936,1.348936,transfermarkt_availability_split_2026_06_07,
POR,DEF,1,Ruben Dias,4.0,0.9454,0.9632,low_risk,,COD,3.819584,3.819584,transfermarkt_availability_split_2026_06_07,
POR,DEF,2,Nuno Mendes,4.5,0.88,0.93,low_risk,low,COD,4.158483,4.158483,transfermarkt_availability_split_2026_06_07,Manual review: should be treated as secure Portugal starter; June friendly minutes likely affected by post-Champions-League-final management rather than real start uncertainty.
POR,DEF,3,João Cancelo,5.0,0.6523,0.6879,medium_risk,,COD,3.025261,3.025261,transfermarkt_availability_split_2026_06_07,
POR,FWD,1,Cristiano Ronaldo,7.0,0.9185,0.97,medium_risk,,COD,5.636815,5.636815,transfermarkt_availability_split_2026_06_07,
POR,FWD,2,Rafael Leão,5.5,0.6177,0.6431,medium_risk,,COD,3.654295,3.654295,transfermarkt_availability_split_2026_06_07,
POR,GK,1,Diogo Costa,5.0,0.6212,0.6212,low_risk,,COD,3.118155,3.118155,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
POR,MID,1,Bruno Fernandes,7.0,0.9246,0.953,low_risk,,COD,3.955143,3.955143,transfermarkt_availability_split_2026_06_07,
POR,MID,2,Bernardo Silva,5.5,0.8941,0.9339,low_risk,,COD,3.395692,3.395692,transfermarkt_availability_split_2026_06_07,
POR,MID,3,Samu Costa,2.5,0.7732,0.8991,high_risk,,COD,0.883648,0.883648,transfermarkt_availability_split_2026_06_07,
POR,MID,4,Vitinha,5.5,0.6243,0.6461,medium_risk,,COD,2.765646,2.765646,transfermarkt_availability_split_2026_06_07,
QAT,DEF,1,Ayoub Al-Oui,2.5,0.9308,0.9674,low_risk,,SUI,1.509068,1.509068,transfermarkt_availability_split_2026_06_07,
QAT,DEF,2,Pedro 'Ro-Ro' Miguel Correia,2.5,0.8455,0.949,medium_risk,,SUI,1.445032,1.445032,transfermarkt_availability_split_2026_06_04,
QAT,DEF,3,Boualem Khoukhi,2.5,0.8243,0.9474,high_risk,,SUI,1.431014,1.431014,transfermarkt_availability_split_2026_06_07,
QAT,DEF,4,Seydinaissa Laye,2.0,0.6257,0.6576,medium_risk,,,0.794115,0.794115,transfermarkt_availability_split_2026_06_07,
QAT,FWD,1,Akram Afif,3.5,0.91,0.9698,medium_risk,,SUI,2.008123,2.008123,transfermarkt_availability_split_2026_06_07,
QAT,FWD,2,Edmilson Junior,2.5,0.6178,0.676,medium_risk,,SUI,0.817591,0.817591,transfermarkt_availability_split_2026_06_07,
RSA,DEF,1,Ime Okon,2.0,0.9119,0.97,medium_risk,,MEX,1.317659,1.317659,transfermarkt_availability_split_2026_06_07,
RSA,DEF,2,Olwethu Makhanya,2.0,0.8851,0.97,unknown,,,1.289875,1.289875,transfermarkt_availability_split_2026_06_07,
RSA,DEF,3,Khuliso Mudau,3.0,0.652,0.7365,medium_risk,,MEX,1.578439,1.578439,transfermarkt_availability_split_2026_06_07,
RSA,DEF,4,Aubrey Modiba,3.0,0.6023,0.6751,medium_risk,,MEX,1.518957,1.518957,transfermarkt_availability_split_2026_06_07,
RSA,FWD,1,Lyle Foster,3.5,0.8284,0.9632,high_risk,,MEX,2.895894,2.895894,transfermarkt_availability_split_2026_06_07,
RSA,FWD,2,Tshepang Moremi,2.5,0.7896,0.8836,medium_risk,,MEX,1.29094,1.29094,transfermarkt_availability_split_2026_06_07,
RSA,GK,1,Ronwen Williams,3.0,0.92,0.92,medium_risk,,MEX,1.902281,1.902281,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,
RSA,MID,1,Sphephelo Yaya Sithole,3.0,0.8032,0.8636,medium_risk,,MEX,1.238973,1.238973,transfermarkt_availability_split_2026_06_04,
RSA,MID,2,Teboho Mokoena,3.5,0.6667,0.7321,medium_risk,,MEX,1.335789,1.335789,transfermarkt_availability_split_2026_06_07,
RSA,MID,3,Themba Zwane,2.5,0.6009,0.6988,high_risk,,MEX,0.30528,0.30528,transfermarkt_availability_split_2026_06_07,
SCO,DEF,1,Aaron Hickey,2.5,0.8813,0.9452,medium_risk,,HAI,2.06622,2.06622,transfermarkt_availability_split_2026_06_07,
SCO,DEF,2,Andy Robertson,3.0,0.8728,0.9368,medium_risk,,HAI,2.465478,2.465478,transfermarkt_availability_split_2026_06_04,
SCO,FWD,1,Che Adams,3.0,0.6374,0.6827,medium_risk,,HAI,2.286545,2.286545,transfermarkt_availability_split_2026_06_07,
SCO,MID,1,Scott McTominay,4.5,0.934,0.97,low_risk,,HAI,3.506159,3.506159,transfermarkt_availability_split_2026_06_07,
SCO,MID,2,John McGinn,3.5,0.88,0.93,low_risk,low,HAI,2.886646,2.886646,transfermarkt_availability_split_2026_06_07,Manual review: secure Scotland starter; raised after Transfermarkt usage review and expert-start audit.
SCO,MID,3,Ryan Christie,2.5,0.8635,0.8983,low_risk,,HAI,2.14212,2.14212,transfermarkt_availability_split_2026_06_07,
SCO,MID,4,Ben Doak,3.0,0.8534,0.9451,medium_risk,,HAI,1.350673,1.350673,transfermarkt_availability_split_2026_06_07,
SEN,DEF,1,Kalidou Koulibaly,2.5,0.8777,0.97,medium_risk,,FRA,2.086588,2.086588,transfermarkt_availability_split_2026_06_07,
