player_name,matched_player_id,team_id,position,price,specific_round,start_prob,conditional_start_prob,appearance_prob,availability_risk,manual_status,next_round_opponent,next_round_win_prob,next_round_score,round1_2_score,group_stage_score,long_run_score,total_ev,round_1_ev,round_2_ev,round_3_ev,selected_in_strategies,model_error_flag,model_error_reason,recommended_manual_action,note
Ismael Saibari,ismael_saibari__mar,MAR,MID,3500000,Runde 3,0.6814,0.7857,0.6207,high_risk,,BRA,0.174,1.8448,2.4882,4.7868,0.3834,2.1693,0.2945,0.6685,1.054,,yes,requested_uncertain_start_check,Manual lineup/start check before selection.,Not selected in exported strategy/formation squads.
Raphinha,raphinha__bra,BRA,FWD,6500000,Runde 2-3,0.8812,0.97,0.7385,medium_risk,,MAR,0.5861,3.0495,3.1186,3.4413,4.9285,0.5073,0.2041,0.1625,0.119,,yes,specific_round_2_but_low_round_2_ev; specific_round_3_but_low_round_3_ev,Check round 2 fixture/upside assumptions. Check round 3 fixture/upside/rotation assumptions.,Not selected in exported strategy/formation squads.
Gregor Kobel,gregor_kobel__sui,SUI,GK,4000000,Runde 1-3,0.5051,0.5051,0.6,high_risk,,QAT,0.7335,3.0404,3.5014,4.0097,0.0,2.3234,0.9316,0.7363,0.555,,yes,specific_round_1_but_low_next_round_score; specific_round_3_but_low_round_3_ev,Check round 1 fixture/upside assumptions. Check round 3 fixture/upside/rotation assumptions.,Not selected in exported strategy/formation squads.
Silvan Widmer,silvan_widmer__sui,SUI,DEF,3000000,Runde 1-3,0.632,0.7229,0.6408,high_risk,,QAT,0.7335,4.8724,5.8406,6.6629,0.5156,3.4852,1.3272,1.1493,0.8534,,yes,specific_round_1_but_low_next_round_score,Check round 1 fixture/upside assumptions.,appearance_prob column uses availability_prob proxy; no separate appearance_prob source found. Not selected in exported strategy/formation squads.
Ismaila Sarr,ismaila_sarr__sen,SEN,MID,3500000,Runde 3,0.6015,0.6526,0.768,medium_risk,,FRA,0.1393,1.0573,1.0716,2.5682,0.0,1.1515,0.1586,0.2718,0.6361,,yes,requested_uncertain_start_check; specific_round_3_but_low_round_3_ev,Manual lineup/start check before selection. Check round 3 fixture/upside/rotation assumptions.,Not selected in exported strategy/formation squads.
David Raum,david_raum__ger,GER,DEF,4500000,Runde 1,0.6701,0.7059,0.8551,low_risk,,CUW,0.9177,5.972,6.0281,6.5993,4.7004,2.8836,1.3031,0.7826,0.6811,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Florian Wirtz,florian_wirtz__ger,GER,MID,7500000,Runde 1,0.8582,0.9091,0.84,medium_risk,,CUW,0.9177,6.584,7.1619,7.7509,5.5489,3.0576,1.2348,0.965,0.7264,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Fabian Rieder,fabian_rieder__sui,SUI,MID,3000000,,0.7887,0.8387,0.8298,medium_risk,,QAT,0.7335,6.0663,7.3864,8.2716,1.8593,3.6839,1.2709,1.2757,0.9631,,yes,central_or_defensive_mid_may_be_overvalued,Review role/upside weighting for central MID.,Not selected in exported strategy/formation squads.
Aleksandar Pavlovic,aleksandar_pavlovic__ger,GER,MID,3500000,Runde 1,0.7126,0.8125,0.6486,high_risk,,CUW,0.9177,3.6264,3.7941,4.0961,3.4449,1.7455,0.7194,0.5463,0.4059,,yes,specific_round_1_but_low_next_round_score,Check round 1 fixture/upside assumptions.,Not selected in exported strategy/formation squads.
Patrick Wimmer,patrick_wimmer__aut,AUT,MID,3000000,,0.5787,0.6477,0.8085,medium_risk,,JOR,0.7083,1.7908,1.1379,1.404,0.0,0.5634,0.313,0.0842,0.1456,,yes,requested_uncertain_start_check,Manual lineup/start check before selection.,Not selected in exported strategy/formation squads.
Harry Kane,harry_kane__eng,ENG,FWD,9500000,Runde 1,0.8702,0.9106,0.8733,low_risk,,CRO,0.5431,7.2511,8.9936,10.9184,7.3675,4.2802,1.344,1.5231,1.1997,,no,,No immediate manual action from audit rules.,Premium/offensive player has plausible strong next-round score. Not selected in exported strategy/formation squads.
Luis Diaz,luis_d_az__col,COL,FWD,5500000,,0.9001,0.96,0.8218,medium_risk,,UZB,0.6646,6.4254,7.4812,7.8608,2.7511,2.9496,1.1371,1.1549,0.5371,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Deniz Undav,deniz_undav__ger,GER,FWD,3500000,Runde 1,0.3287,0.3684,0.6923,medium_risk,,CUW,0.9177,3.094,3.1108,3.3499,3.2688,1.3422,0.5467,0.4216,0.3165,,yes,requested_uncertain_start_check; specific_round_1_but_low_next_round_score,Manual lineup/start check before selection. Check round 1 fixture/upside assumptions.,Not selected in exported strategy/formation squads.
Michael Olise,michael_olise__fra,FRA,FWD,7000000,,0.7944,0.8333,0.8667,low_risk,,SEN,0.6521,5.5735,6.39,6.9579,6.0393,2.4477,0.8907,0.8686,0.5783,,yes,premium_offensive_low_next_round_score_in_good_fixture,Review premium attacker goal/upside weighting.,Not selected in exported strategy/formation squads.
Jamal Musiala,jamal_musiala__ger,GER,MID,6500000,Runde 1,0.8355,0.9048,0.7812,medium_risk,,CUW,0.9177,6.0753,6.5006,7.0159,5.3428,2.666,1.0844,0.8335,0.6338,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Manuel Neuer,manuel_neuer__ger,GER,GK,5000000,Runde 1,0.7293,0.7293,0.8302,medium_risk,,CUW,0.9177,6.8904,7.1449,7.8789,4.7986,3.7044,1.6823,0.9872,0.8847,,no,,No immediate manual action from audit rules.,Not selected in exported strategy/formation squads.
Mike Maignan,mike_maignan__fra,FRA,GK,5000000,,0.8865,0.8865,0.95,low_risk,,SEN,0.6521,6.7473,9.0051,9.9189,6.5452,4.2115,1.3486,1.7185,0.9485,group_stage:3-4-3; group_stage:3-5-2; group_stage:4-3-3; group_stage:4-4-2; group_stage:4-5-1; group_stage:5-3-2; group_stage:5-4-1; group_stage:best; long_run:3-4-3; long_run:3-5-2; long_run:4-3-3; long_run:4-4-2; long_run:4-5-1; long_run:5-3-2; long_run:5-4-1; long_run:best; next_round:3-4-3; next_round:3-5-2; next_round:4-3-3; next_round:4-4-2; next_round:4-5-1; next_round:5-3-2; next_round:5-4-1; next_round:best; round1_2:3-4-3; round1_2:3-5-2; round1_2:4-3-3; round1_2:4-4-2; round1_2:4-5-1; round1_2:5-3-2; round1_2:5-4-1; round1_2:best,no,,No immediate manual action from audit rules.,Sanity-control row requested by user. Sanity control: must not sit on unexplained fallback 0.48.
Andreas Schjelderup,andreas_schjelderup__nor,NOR,MID,3500000,,0.3333,0.4545,0.7333,medium_risk,,IRQ,0.7579,3.9714,4.0652,4.3978,2.2445,1.9574,0.8602,0.6667,0.3559,,yes,requested_uncertain_start_check,Manual lineup/start check before selection.,Sanity-control row requested by user. Sanity control: start probability must not be driven by sub appearances. Not selected in exported strategy/formation squads.
Manu Koné,manu_kon__fra,FRA,MID,3500000,,0.38,0.55,0.45,high_risk,,SEN,0.6521,1.8609,2.3,2.5101,2.8232,1.2661,0.4706,0.4458,0.2937,,no,,No immediate manual action from audit rules.,Sanity-control row requested by user. Sanity control: latest injury/absence must be reflected. Not selected in exported strategy/formation squads.
