player_id,player_name,team_id,position,price,old_ev,new_ev,ev_diff,ev_diff_pct,main_reason
cristian_romero__arg,Cristian Romero,ARG,DEF,4000000,9.70558,12.388273,2.682693,0.276407,match_1_goal_multiplier=1.350
luis_d_az__col,Luis Diaz,COL,FWD,5500000,9.679438,12.55019,2.870752,0.296583,match_1_goal_multiplier=1.350
michael_olise__fra,Michael Olise,FRA,FWD,7000000,9.627519,12.291587,2.664068,0.276714,match_2_clean_sheet_multiplier=1.450
joshua_kimmich__ger,Joshua Kimmich,GER,MID,5000000,9.610723,12.223386,2.612663,0.271849,match_1_clean_sheet_multiplier=1.450
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,4500000,9.472971,11.461094,1.988123,0.209873,match_2_goal_multiplier=1.350
florian_wirtz__ger,Florian Wirtz,GER,MID,7500000,9.385519,11.983341,2.597822,0.27679,match_1_clean_sheet_multiplier=1.450
gregor_kobel__sui,Gregor Kobel,SUI,GK,4000000,9.323501,11.539518,2.216017,0.237681,match_1_goal_multiplier=1.350
c_sar_montes__mex,Cesar Montes,MEX,DEF,3000000,9.314775,11.552498,2.237723,0.240234,match_1_goal_multiplier=1.350
r_ben_dias__por,Ruben Dias,POR,DEF,4000000,9.250769,11.373682,2.122913,0.229485,match_1_goal_multiplier=1.350
manuel_akanji__sui,Manuel Akanji,SUI,DEF,3500000,9.234658,11.51948,2.284822,0.247418,match_1_goal_multiplier=1.350
nahuel_molina__arg,Nahuel Molina,ARG,DEF,4000000,9.232505,11.775374,2.542869,0.275426,match_1_goal_multiplier=1.350
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,4500000,9.207158,11.752985,2.545827,0.276505,match_1_goal_multiplier=1.350
youri_tielemans__bel,Youri Tielemans,BEL,MID,3500000,9.134553,11.909376,2.774823,0.303772,match_2_goal_multiplier=1.350
ibrahima_konat__fra,Ibrahima Konate,FRA,DEF,3000000,9.075394,12.155998,3.080604,0.339446,match_2_clean_sheet_multiplier=1.450
rafael_le_o__por,Rafael Leão,POR,FWD,5500000,9.047623,11.636541,2.588918,0.286143,match_1_goal_multiplier=1.350
nathaniel_brown__ger,Nathaniel Brown,GER,DEF,2500000,9.040866,12.23761,3.196744,0.353588,match_1_clean_sheet_multiplier=1.450
raul_rangel__mex,Raul Rangel,MEX,GK,4000000,8.947321,10.854725,1.907404,0.213182,match_1_goal_multiplier=1.350
alexis_mac_allister__arg,Alexis Mac Allister,ARG,MID,4500000,8.936273,11.638273,2.702,0.302363,match_1_goal_multiplier=1.350
declan_rice__eng,Declan Rice,ENG,MID,4500000,8.909211,11.453735,2.544524,0.285606,match_2_goal_multiplier=1.350
davinson_s_nchez__col,Davinson Sanchez,COL,DEF,3500000,8.89795,11.193489,2.295539,0.257985,match_1_goal_multiplier=1.350
tajon_buchanan__can,Tajon Buchanan,CAN,MID,3500000,8.857841,11.228381,2.37054,0.267621,match_2_goal_multiplier=1.350
remo_freuler__sui,Remo Freuler,SUI,MID,3500000,8.791605,11.108644,2.317039,0.263551,match_1_goal_multiplier=1.350
kai_havertz__ger,Kai Havertz,GER,FWD,5500000,8.769799,11.103321,2.333522,0.266086,match_1_clean_sheet_multiplier=1.450
bukayo_saka__eng,Bukayo Saka,ENG,FWD,6500000,8.717664,11.211818,2.494154,0.286103,match_2_goal_multiplier=1.350
richie_laryea__can,Richie Laryea,CAN,DEF,3000000,8.711334,11.012876,2.301542,0.264201,match_2_goal_multiplier=1.350
matheus_cunha__bra,Matheus Cunha,BRA,FWD,4500000,8.661509,11.225865,2.564356,0.296063,match_2_clean_sheet_multiplier=1.437
bernardo_silva__por,Bernardo Silva,POR,MID,5500000,8.572892,11.021404,2.448512,0.285611,match_1_goal_multiplier=1.350
jamal_musiala__ger,Jamal Musiala,GER,MID,6500000,8.564841,10.91828,2.353439,0.274779,match_1_clean_sheet_multiplier=1.450
dan_ndoye__sui,Dan Ndoye,SUI,FWD,4000000,8.530922,10.787396,2.256474,0.264505,match_1_goal_multiplier=1.350
marc_gu_hi__eng,Marc Guehi,ENG,DEF,4500000,8.516492,10.576611,2.060119,0.241898,match_2_goal_multiplier=1.350
sadio_man__sen,Sadio Mane,SEN,FWD,5000000,8.461728,10.747266,2.285538,0.270103,match_3_goal_multiplier=1.350
johan_mojica__col,Johan Mojica,COL,DEF,3500000,8.430748,10.60933,2.178582,0.258409,match_1_goal_multiplier=1.350
maxim_de_cuyper__bel,Maxim De Cuyper,BEL,DEF,4000000,8.426472,10.552994,2.126522,0.252362,match_2_goal_multiplier=1.350
arthur_theate__bel,Arthur Theate,BEL,DEF,3000000,8.401802,10.394778,1.992976,0.237208,match_2_goal_multiplier=1.350
erling_haaland__nor,Erling Haaland,NOR,FWD,8500000,8.400101,10.481174,2.081073,0.247744,match_1_goal_multiplier=1.350
james_rodr_guez__col,James Rodriguez,COL,MID,4000000,8.395512,10.843181,2.447669,0.291545,match_1_goal_multiplier=1.350
enner_valencia__ecu,Enner Valencia,ECU,FWD,4000000,8.359081,10.480449,2.121368,0.25378,match_2_goal_multiplier=1.350
nico_elvedi__sui,Nico Elvedi,SUI,DEF,3000000,8.290006,10.333499,2.043493,0.246501,match_1_goal_multiplier=1.350
camilo_vargas__col,Camilo Vargas,COL,GK,4000000,8.266862,10.265664,1.998802,0.241785,match_1_goal_multiplier=1.350
alistair_johnston__can,Alistair Johnston,CAN,DEF,3000000,8.249736,10.457942,2.208206,0.26767,match_2_goal_multiplier=1.350
