team_id,team_name,gk_count,sum_start_prob,max_start_prob,over_100_flag,multiple_high_gk_flag,player_name,player_id,start_prob,conditional_start_prob,start_prob_source,optimizer_ev,price
EGY,Egypten,4,1.0001,0.5193,FALSE,TRUE,Mohamed El-Shennawy,mohamed_el_shenawy__egy,0.4506,0.4506,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,2.617303,2995000
EGY,Egypten,4,1.0001,0.5193,FALSE,TRUE,El Mahdi Soliman,el_mahdi_soliman__egy,0.0151,0.0151,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
EGY,Egypten,4,1.0001,0.5193,FALSE,TRUE,Mohamed Alaa,mohamed_alaa__egy,0.0151,0.0151,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.0,2495000
ENG,England,3,1.0,0.9287,FALSE,FALSE,Jordan Pickford,jordan_pickford__eng,0.9287,0.9287,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,12.995492,5071000
ENG,England,3,1.0,0.9287,FALSE,FALSE,James Trafford,james_trafford__eng,0.0437,0.0437,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.6312,3995000
ENG,England,3,1.0,0.9287,FALSE,FALSE,Dean Henderson,dean_henderson__eng,0.0276,0.0276,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.433351,4495000
ESP,Spanien,4,1.1096,0.86,TRUE,FALSE,Unai Simon,unai_sim_n__esp,0.86,0.86,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,26.557254,5092000
ESP,Spanien,4,1.1096,0.86,TRUE,FALSE,Joan Garcia,joan_garcia__esp,0.15,0.2,manual_context_override_safe,1.170035,3995000
ESP,Spanien,4,1.1096,0.86,TRUE,FALSE,David Raya,david_raya__esp,0.0996,0.0996,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,3.051823,4995000
ESP,Spanien,4,1.1096,0.86,TRUE,FALSE,Alejandro 'Alex' Remiro,alejandro_alex_remiro__esp,0.0,0.0,holdet_official_unmatched_default,0.0,4000000
FRA,Frankrig,4,0.8794,0.82,FALSE,FALSE,Mike Maignan,mike_maignan__fra,0.82,0.95,manual_context_override_safe,20.233152,5064000
FRA,Frankrig,4,0.8794,0.82,FALSE,FALSE,Brice Samba,brice_samba__fra,0.0343,0.0343,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.946229,4495000
FRA,Frankrig,4,0.8794,0.82,FALSE,FALSE,Robin Risser,robin_risser__fra,0.0251,0.0251,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,0.53012,3995000
FRA,Frankrig,4,0.8794,0.82,FALSE,FALSE,Lucas Chevalier,lucas_chevalier__fra,0.0,0.0,holdet_official_unmatched_default,0.0,4000000
GER,Tyskland,5,1.0,0.6554,FALSE,FALSE,Oliver Baumann,oliver_baumann__ger,0.6554,0.6554,transfermarkt_availability_split_2026_06_07+gk_hierarchy_normalized,16.768131,4995000
