player_id,player_name,team_id,position,start_prob,minute_share,component_rounds_present,component_weighted_sum,old_base_ev,price_quality_ev_num,current_final_ev,formula_expected_ev,formula_diff,component_vs_old_base_diff,repair_status
matheus_cunha__bra,Matheus Cunha,BRA,FWD,0.6946,0.063145,3,3.417074,2.043,2.871702580645162,4.040804,2.4159161612903235,1.6248878387096761,1.3740739999999998,component_rows_need_new_base
aleksandar_pavlovic__ger,Aleksandar Pavlovic,GER,MID,0.7126,0.064782,3,1.427053,0.671,2.3658784615384616,3.049119,1.4336953076923078,1.6154236923076923,0.7560529999999999,component_rows_need_new_base
fabian_rieder__sui,Fabian Rieder,SUI,MID,0.7887,0.0717,3,3.319643,1.766,1.9220676923076925,3.449705,1.8362304615384617,1.613474538461538,1.553643,component_rows_need_new_base
francisco_trinc_o__por,Francisco Trincao,POR,FWD,0.5447,0.049518,3,1.96308,1.025,2.635501935483872,3.354347,1.7497258709677423,1.6046211290322578,0.93808,component_rows_need_new_base
mario_pa_ali__cro,Mario Pasalic,CRO,MID,0.7032,0.063927,3,2.6108890000000002,1.394,2.3658784615384616,3.427554,1.8313453076923079,1.5962086923076924,1.2168890000000003,component_rows_need_new_base
isma_l_kon__can,Ismael Kone,CAN,MID,0.7892,0.071745,3,1.913761,0.881,1.9220676923076925,2.931421,1.3494804615384617,1.5819405384615381,1.032761,component_rows_need_new_base
ollie_watkins__eng,Ollie Watkins,ENG,FWD,0.5529,0.050264,3,2.327426,1.266,2.635501935483872,3.463128,1.8822758709677423,1.580852129032258,1.061426,component_rows_need_new_base
rafael_le_o__por,Rafael Leão,POR,FWD,0.8615,0.078318,3,3.766152,2.383,3.1389822580645173,4.3038,2.723192016129033,1.580607983870967,1.383152,component_rows_need_new_base
mehdi_taremi__irn,Mehdi Taremi,IRN,FWD,0.9079,0.082536,3,3.003192,1.663,2.2812009677419365,3.503465,1.9411904354838714,1.5622745645161285,1.3401919999999998,component_rows_need_new_base
r_ben_neves__por,Ruben Neves,POR,MID,0.7206,0.065509,3,1.626884,0.831,2.5527461538461536,3.147504,1.605785769230769,1.541718230769231,0.795884,component_rows_need_new_base
dani_olmo__esp,Dani Olmo,ESP,MID,0.739,0.067182,3,1.557544,0.818,2.749624615384616,3.212636,1.6872310769230772,1.5254049230769227,0.7395440000000001,component_rows_need_new_base
jonathan_david__can,Jonathan David,CAN,FWD,0.9,0.081818,3,5.720616000000001,3.999,2.871702580645162,4.99494,3.491716161290323,1.5032238387096766,1.7216160000000005,component_rows_need_new_base
jefferson_lerma__col,Jefferson Lerma,COL,MID,0.8225,0.074773,3,2.500234,1.282,1.9220676923076925,3.061967,1.5700304615384617,1.4919365384615384,1.2182339999999998,component_rows_need_new_base
marcus_thuram__fra,Marcus Thuram,FRA,FWD,0.6205,0.056409,3,2.49243,1.482,3.020881935483872,3.657073,2.1744968709677424,1.4825761290322577,1.0104300000000002,component_rows_need_new_base
morten_thorsby__nor,Morten Thorsby,NOR,MID,0.5467,0.0497,3,0.546148,0.155,1.1045215384615383,2.051702,0.5822846923076923,1.4694173076923078,0.39114799999999994,component_rows_need_new_base
leon_goretzka__ger,Leon Goretzka,GER,MID,0.7892,0.071745,3,1.774633,0.96,2.662864615384616,3.191176,1.7262890769230772,1.4648869230769228,0.8146329999999999,component_rows_need_new_base
juli_n_qui_ones__mex,Julian Quinones,MEX,FWD,0.6223,0.056573,3,2.501772,1.267,1.759073225806452,2.939005,1.4884329516129036,1.4505720483870963,1.234772,component_rows_need_new_base
kai_havertz__ger,Kai Havertz,GER,FWD,0.8043,0.073118,3,1.6769500000000002,0.961,3.1389822580645173,3.387214,1.9410920161290328,1.4461219838709674,0.7159500000000002,component_rows_need_new_base
manuel_ugarte__uru,Manuel Ugarte,URU,MID,0.7396,0.067236,3,1.399991,0.702,2.3658784615384616,2.893205,1.4507453076923076,1.4424596923076924,0.697991,component_rows_need_new_base
che_adams__sco,Che Adams,SCO,FWD,0.8708,0.079164,3,2.493823,1.288,1.759073225806452,2.904265,1.4999829516129035,1.4042820483870966,1.2058229999999999,component_rows_need_new_base
mikel_merino__esp,Mikel Merino,ESP,MID,0.74,0.067273,3,1.743155,0.961,2.662864615384616,3.129052,1.7268390769230773,1.402212923076923,0.782155,component_rows_need_new_base
jamal_musiala__ger,Jamal Musiala,GER,MID,0.8355,0.075955,3,2.405748,1.44,2.8430584615384618,3.460562,2.071376307692308,1.389185692307692,0.965748,component_rows_need_new_base
ali_ahmed__can,Ali Ahmed,CAN,MID,0.717,0.065182,3,1.911007,0.958,1.9220676923076925,2.776406,1.3918304615384618,1.3845755384615384,0.9530069999999999,component_rows_need_new_base
n_golo_kant__fra,N'Golo Kante,FRA,MID,0.7285,0.066227,3,1.824348,0.906,1.9220676923076925,2.745039,1.3632304615384618,1.381808538461538,0.918348,component_rows_need_new_base
james_rodr_guez__col,James Rodriguez,COL,MID,0.8875,0.080682,3,3.019967,1.852,2.5527461538461536,3.532263,2.1673357692307693,1.3649272307692306,1.1679669999999998,component_rows_need_new_base
pedri__esp,Pedri,ESP,MID,0.8417,0.076518,3,2.172228,1.291,2.8297107692307693,3.337289,1.9834198461538464,1.3538691538461538,0.8812280000000001,component_rows_need_new_base
alan_minda__ecu,Alan Minda,ECU,MID,0.6476,0.058873,3,2.1469199999999997,1.123,1.9220676923076925,2.831833,1.4825804615384617,1.3492525384615384,1.0239199999999997,component_rows_need_new_base
francisco_concei_o__por,Francisco Conceicao,POR,FWD,0.585,0.053182,3,2.138265,1.316,3.1389822580645173,3.471174,2.1363420161290327,1.3348319838709672,0.822265,component_rows_need_new_base
jhon_c_rdoba__col,Jhon Cordoba,COL,FWD,0.6658,0.060527,3,2.294803,1.196,1.759073225806452,2.783305,1.4493829516129035,1.3339220483870964,1.098803,component_rows_need_new_base
enner_valencia__ecu,Enner Valencia,ECU,FWD,0.8568,0.077891,3,3.427118,2.204,2.635501935483872,3.727363,2.3981758709677425,1.3291871290322574,1.223118,component_rows_need_new_base
jorge_carrascal__col,Jorge Carrascal,COL,MID,0.5975,0.054318,3,2.391647,1.084,1.1045215384615383,2.412021,1.0932346923076923,1.3187863076923079,1.3076469999999998,component_rows_need_new_base
nico_williams__esp,Nico Williams,ESP,FWD,0.8158,0.074164,3,3.344795,2.201,2.871702580645162,3.805185,2.5028161612903235,1.3023688387096763,1.143795,component_rows_need_new_base
amadou_onana__bel,Amadou Onana,BEL,MID,0.8044,0.073127,3,2.044412,1.087,1.9220676923076925,2.751174,1.4627804615384616,1.2883935384615381,0.9574119999999999,component_rows_need_new_base
junya_ito__jpn,Junya Ito,JPN,MID,0.7491,0.0681,3,2.02459,1.153,2.3658784615384616,2.982969,1.6987953076923077,1.2841736923076925,0.8715899999999999,component_rows_need_new_base
florian_wirtz__ger,Florian Wirtz,GER,MID,0.8582,0.078018,3,2.816241,1.806,2.86308,3.558016,2.281686,1.2763299999999997,1.0102410000000002,component_rows_need_new_base
leroy_san__ger,Leroy Sane,GER,FWD,0.8215,0.074682,3,1.6230229999999999,0.985,3.1389822580645173,3.216896,1.954292016129033,1.2626039838709673,0.6380229999999999,component_rows_need_new_base
aur_lien_tchouam_ni__fra,Aurelien Tchouameni,FRA,MID,0.8272,0.0752,3,2.3472,1.392,2.3658784615384616,3.086171,1.8302453076923078,1.2559256923076925,0.9552,component_rows_need_new_base
christoph_baumgartner__aut,Christoph Baumgartner,AUT,MID,0.8952,0.081382,3,5.650342,4.106,2.3658784615384616,4.57388,3.322945307692308,1.250934692307692,1.5443420000000003,component_rows_need_new_base
noah_okafor__sui,Noah Okafor,SUI,MID,0.6741,0.061282,3,1.217002,0.595,1.9220676923076925,2.442568,1.1921804615384617,1.2503875384615384,0.6220019999999999,component_rows_need_new_base
nahuel_molina__arg,Nahuel Molina,ARG,DEF,0.891,0.081,3,0.641616,0.288,1.8968306161137456,2.25451,1.0119737772511856,1.2425362227488141,0.353616,component_rows_need_new_base
brenden_aaronson__usa,Brenden Aaronson,USA,MID,0.6836,0.062145,3,1.737026,0.913,1.9220676923076925,2.600935,1.3670804615384617,1.2338545384615385,0.8240259999999999,component_rows_need_new_base
arda_g_ler__tur,Arda Güler,TUR,MID,0.8467,0.076973,3,3.902609,2.668,2.662864615384616,3.899228,2.665689076923077,1.2335389230769227,1.2346089999999998,component_rows_need_new_base
leandro_trossard__bel,Leandro Trossard,BEL,FWD,0.6774,0.061582,3,3.438258,2.38,3.1389822580645173,3.933317,2.7215420161290327,1.2117749838709675,1.058258,component_rows_need_new_base
breel_embolo__sui,Breel Embolo,SUI,FWD,0.8813,0.080118,3,3.815813,2.682,3.020881935483872,4.032778,2.8344968709677425,1.198281129032258,1.133813,component_rows_need_new_base
youri_tielemans__bel,Youri Tielemans,BEL,MID,0.7474,0.067945,3,2.44586,1.498,2.3658784615384616,3.083523,1.8885453076923078,1.1949776923076922,0.9478600000000001,component_rows_need_new_base
mois_s_caicedo__ecu,Moises Caicedo,ECU,MID,0.9079,0.082536,3,1.813724,0.984,1.9220676923076925,2.5918,1.4061304615384618,1.1856695384615383,0.8297239999999999,component_rows_need_new_base
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,0.602,0.054727,3,1.8940329999999999,1.014,1.759073225806452,2.520303,1.3492829516129037,1.1710200483870965,0.8800329999999998,component_rows_need_new_base
orbel_n_pineda__mex,Orbelin Pineda,MEX,MID,0.5947,0.054064,3,1.5156079999999998,0.799,1.9220676923076925,2.474254,1.3043804615384618,1.1698735384615384,0.7166079999999998,component_rows_need_new_base
nicol_s_otamendi__arg,Nicolas Otamendi,ARG,DEF,0.7821,0.0711,3,0.537499,0.252,1.9939794312796224,2.200753,1.03589074407583,1.1648622559241701,0.28549899999999995,component_rows_need_new_base
denis_zakaria__sui,Denis Zakaria,SUI,MID,0.645,0.058636,3,1.162147,0.592,1.9220676923076925,2.341068,1.1905304615384615,1.1505375384615384,0.5701470000000001,component_rows_need_new_base
michael_olise__fra,Michael Olise,FRA,FWD,0.7944,0.072218,3,2.23534,1.5,3.3627512903225814,3.484504,2.3382380806451617,1.1462659193548381,0.7353399999999999,component_rows_need_new_base
eliesse_ben_seghir__mar,Eliesse Ben Seghir,MAR,MID,0.6689,0.060809,3,1.101607,0.558,1.9220676923076925,2.317588,1.1718304615384616,1.1457575384615386,0.543607,component_rows_need_new_base
vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,0.7444,0.067673,3,4.359526,3.24,3.387614516129033,4.448905,3.3064265322580653,1.1424784677419346,1.1195259999999996,component_rows_need_new_base
jeremy_doku__bel,Jeremy Doku,BEL,FWD,0.7134,0.064855,3,3.335606,2.374,3.325456451612904,3.937189,2.802155403225807,1.1350335967741931,0.9616059999999997,component_rows_need_new_base
julio_enciso__par,Julio Enciso,PAR,FWD,0.807,0.073364,3,2.057734,1.245,2.2812009677419365,2.83069,1.7112904354838716,1.1193995645161285,0.8127339999999998,component_rows_need_new_base
charles_de_ketelaere__bel,Charles De Ketelaere,BEL,FWD,0.6079,0.055264,3,1.275342,0.805,3.250866774193549,3.01906,1.905640048387097,1.113419951612903,0.4703419999999999,component_rows_need_new_base
juan_manuel_sanabria__uru,Juan Manuel Sanabria,URU,MID,0.5812,0.052836,3,2.859022,1.788,1.9220676923076925,2.955491,1.8483304615384617,1.1071605384615382,1.071022,component_rows_need_new_base
silvan_widmer__sui,Silvan Widmer,SUI,DEF,0.632,0.057455,3,1.29076,0.611,1.452374786729859,2.090607,0.9896186540284366,1.1009883459715633,0.6797599999999999,component_rows_need_new_base
alireza_jahanbakhsh__irn,Alireza Jahanbakhsh,IRN,FWD,0.825,0.075,3,2.509538,1.294,1.0193922580645165,2.268132,1.1704265161290326,1.0977054838709674,1.215538,component_rows_need_new_base
joshua_kimmich__ger,Joshua Kimmich,GER,MID,0.9287,0.084427,3,3.2998350000000003,2.293,2.749624615384616,3.595541,2.4984810769230776,1.0970599230769222,1.0068350000000001,component_rows_need_new_base
mike_maignan__fra,Mike Maignan,FRA,GK,0.82,0.091,3,4.650962,3.265,1.7187609374999997,3.659791,2.569192421875,1.0905985781249998,1.3859619999999997,component_rows_need_new_base
kevin_rodr_guez__ecu,Kevin Rodriguez,ECU,FWD,0.6968,0.063345,3,2.1250210000000003,1.219,1.759073225806452,2.548688,1.4620329516129036,1.0866550483870963,0.9060210000000002,component_rows_need_new_base
azzedine_ounahi__mar,Azzedine Ounahi,MAR,MID,0.8135,0.073955,3,1.693946,0.951,1.9220676923076925,2.472307,1.3879804615384617,1.0843265384615381,0.742946,component_rows_need_new_base
orkun_k_k__tur,Orkun Kökcü,TUR,MID,0.7587,0.068973,3,1.899716,1.096,1.9220676923076925,2.544042,1.4677304615384617,1.0763115384615385,0.8037159999999999,component_rows_need_new_base
brian_rodr_guez__uru,Brian Rodriguez,URU,FWD,0.583,0.053,3,1.9692999999999998,1.21,2.2812009677419365,2.75383,1.6920404354838714,1.0617895645161284,0.7592999999999999,component_rows_need_new_base
marc_gu_hi__eng,Marc Guehi,ENG,DEF,0.6708,0.060982,3,0.9622140000000001,0.507,1.9939794312796224,2.232148,1.17614074407583,1.05600725592417,0.4552140000000001,component_rows_need_new_base
cody_gakpo__ned,Cody Gakpo,NED,FWD,0.8713,0.079209,3,4.2162500000000005,3.216,3.325456451612904,4.280824,3.265255403225807,1.0155685967741928,1.0002500000000003,component_rows_need_new_base
kevin_casta_o__col,Kevin Castano,COL,MID,0.6173,0.056118,3,1.348519,0.752,1.9220676923076925,2.292715,1.2785304615384616,1.0141845384615382,0.596519,component_rows_need_new_base
bernardo_silva__por,Bernardo Silva,POR,MID,0.8322,0.075655,3,2.4667000000000003,1.689,2.8030153846153847,3.198834,2.190306923076923,1.0085270769230772,0.7777000000000003,component_rows_need_new_base
luis_d_az__col,Luis Diaz,COL,FWD,0.9001,0.081827,3,2.6841120000000003,1.906,3.1389822580645173,3.465464,2.4608420161290327,1.0046219838709671,0.7781120000000004,component_rows_need_new_base
alex_baena__esp,Alex Baena,ESP,MID,0.5347,0.048609,3,1.102316,0.647,2.3658784615384616,2.420147,1.4204953076923077,0.9996516923076924,0.45531600000000005,component_rows_need_new_base
ousmane_demb_l__fra,Ousmane Dembele,FRA,FWD,0.698,0.063455,3,3.61908,2.692,3.1389822580645173,3.889492,2.893142016129033,0.9963499838709673,0.9270799999999997,component_rows_need_new_base
