"match_id","home","away","team_id","clean_sheet_yes_odds","clean_sheet_no_odds","source","clean_sheet_fetched_at","clean_sheet_fetched_label","note","stage","group","team_name","opponent_id","opponent_name","kickoff_dk","yes_odds","no_odds","odds_fetched_at","odds_fetched_label"
"92","MEX","ENG","MEX","3.00","1.36","Danske Spil / Oddset","2026-07-03T09:34:08+02:00","Oddset 03.07 kl. 09:34","Manuelt aflæst fra screenshots/PDF 03.07","R16","","Mexico","ENG","England","","3.00","1.36","2026-07-03T09:34:08+02:00","Oddset 03.07 kl. 09:34"
"93","USA","BEL","BEL","3.50","1.26","Danske Spil / Oddset","2026-07-03T09:32:21+02:00","Oddset 03.07 kl. 09:32","Manuelt aflæst fra screenshots/PDF 03.07","R16","","Belgien","USA","USA","","3.50","1.26","2026-07-03T09:32:21+02:00","Oddset 03.07 kl. 09:32"
"93","USA","BEL","USA","3.50","1.26","Danske Spil / Oddset","2026-07-03T09:32:21+02:00","Oddset 03.07 kl. 09:32","Manuelt aflæst fra screenshots/PDF 03.07","R16","","USA","BEL","Belgien","","3.50","1.26","2026-07-03T09:32:21+02:00","Oddset 03.07 kl. 09:32"
"94","POR","ESP","ESP","2.50","1.47","Danske Spil / Oddset","2026-07-03T09:33:12+02:00","Oddset 03.07 kl. 09:33","Manuelt aflæst fra screenshots/PDF 03.07","R16","","Spanien","POR","Portugal","","2.50","1.47","2026-07-03T09:33:12+02:00","Oddset 03.07 kl. 09:33"
"94","POR","ESP","POR","4.00","1.20","Danske Spil / Oddset","2026-07-03T09:33:12+02:00","Oddset 03.07 kl. 09:33","Manuelt aflæst fra screenshots/PDF 03.07","R16","","Portugal","ESP","Spanien","","4.00","1.20","2026-07-03T09:33:12+02:00","Oddset 03.07 kl. 09:33"
"95","ARG","EGY","ARG","1.61","2.15","Danske Spil / Oddset","2026-07-04T07:29:26+02:00","Oddset 04.07 kl. 07:29","Manuelt aflæst fra screenshots/PDF 04.07","R16","","Argentina","EGY","Egypten","","1.61","2.15","2026-07-04T07:29:26+02:00","Oddset 04.07 kl. 07:29"
"95","ARG","EGY","EGY","5.75","1.10","Danske Spil / Oddset","2026-07-04T07:29:26+02:00","Oddset 04.07 kl. 07:29","Manuelt aflæst fra screenshots/PDF 04.07","R16","","Egypten","ARG","Argentina","","5.75","1.10","2026-07-04T07:29:26+02:00","Oddset 04.07 kl. 07:29"
"96","SUI","COL","COL","2.45","1.49","Danske Spil / Oddset","2026-07-04T07:28:51+02:00","Oddset 04.07 kl. 07:28","Manuelt aflæst fra screenshots/PDF 04.07","R16","","Colombia","SUI","Schweiz","","2.45","1.49","2026-07-04T07:28:51+02:00","Oddset 04.07 kl. 07:28"
"96","SUI","COL","SUI","3.25","1.29","Danske Spil / Oddset","2026-07-04T07:28:51+02:00","Oddset 04.07 kl. 07:28","Manuelt aflæst fra screenshots/PDF 04.07","R16","","Schweiz","COL","Colombia","","3.25","1.29","2026-07-04T07:28:51+02:00","Oddset 04.07 kl. 07:28"
"","BRA","NOR","BRA","2.45","1.49","Danske Spil / Oddset","2026-07-01T15:27:00+02:00","Oddset 01.07 kl. 15:27","Manuelt aflæst fra screenshot 01.07","QF","","Brasilien","NOR","Norge","","2.45","1.49","2026-07-01T15:27:00+02:00","Oddset 01.07 kl. 15:27"
"","CAN","MAR","CAN","3.75","1.23","Danske Spil / Oddset","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28","Manuelt aflæst fra screenshot 01.07","QF","","Canada","MAR","Marokko","","3.75","1.23","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28"
"","FRA","PAR","FRA","1.54","2.30","Danske Spil / Oddset","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28","Manuelt aflæst fra screenshot 01.07","QF","","Frankrig","PAR","Paraguay","","1.54","2.30","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28"
"","MAR","CAN","MAR","2.05","1.69","Danske Spil / Oddset","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28","Manuelt aflæst fra screenshot 01.07","QF","","Marokko","CAN","Canada","","2.05","1.69","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28"
"","NOR","BRA","NOR","4.00","1.20","Danske Spil / Oddset","2026-07-01T15:27:00+02:00","Oddset 01.07 kl. 15:27","Manuelt aflæst fra screenshot 01.07","QF","","Norge","BRA","Brasilien","","4.00","1.20","2026-07-01T15:27:00+02:00","Oddset 01.07 kl. 15:27"
"","PAR","FRA","PAR","8.00","1.05","Danske Spil / Oddset","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28","Manuelt aflæst fra screenshot 01.07","QF","","Paraguay","FRA","Frankrig","","8.00","1.05","2026-07-01T15:28:00+02:00","Oddset 01.07 kl. 15:28"
