holdet_player_id,holdet_player_name,holdet_team_id,holdet_position,pool_player_id,pool_player_name,pool_team_id,pool_position,match_type,source_file
48987,Danilo Luiz da Silva,BRA,DEF,danilo_luiz_da_silva__bra,Danilo Luiz da Silva,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49041,Eder Militão,BRA,DEF,der_milit_o__bra,Eder Militão,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49126,Gabriel Magalhaes,BRA,DEF,gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49789,Roger Ibanez,BRA,DEF,roger_ibanez__bra,Roger Ibanez,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49941,Wesley Franca,BRA,DEF,wesley_franca__bra,Wesley Franca,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48914,Bremer,BRA,DEF,bremer__bra,Bremer,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49431,Leo Pereira,BRA,DEF,leo_pereira__bra,Leo Pereira,BRA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48963,Clement Akpa,CIV,DEF,clement_akpa__civ,Clement Akpa,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49136,Ghislain Konan,CIV,DEF,ghislain_konan__civ,Ghislain Konan,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49153,Guela Doue,CIV,DEF,guela_doue__civ,Guela Doue,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49943,Wilfried Stephane Singo,CIV,DEF,wilfried_stephane_singo__civ,Wilfried Stephane Singo,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49698,Ousmane Diomande,CIV,DEF,ousmane_diomande__civ,Ousmane Diomande,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49067,Emmanuel Agbadou,CIV,DEF,emmanuel_agbadou__civ,Emmanuel Agbadou,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49677,Odilon Kossounou,CIV,DEF,odilon_kossounou__civ,Odilon Kossounou,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49080,Evan N'Dicka,CIV,DEF,evan_n_dicka__civ,Evan N'Dicka,CIV,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49909,Trent Alexander-Arnold,ENG,DEF,trent_alexander_arnold__eng,Trent Alexander-Arnold,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49307,John Stones,ENG,DEF,john_stones__eng,John Stones,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48977,Dan Burn,ENG,DEF,dan_burn__eng,Dan Burn,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49489,Marc Guehi,ENG,DEF,marc_gu_hi__eng,Marc Guehi,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49761,Reece James,ENG,DEF,reece_james__eng,Reece James,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49086,Ezri Konsa,ENG,DEF,ezri_konsa__eng,Ezri Konsa,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49641,Nico O'Reilly,ENG,DEF,nico_o_reilly__eng,Nico O'Reilly,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50074,Djed Spence,ENG,DEF,djed_spence__eng,Djed Spence,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50077,Jarell Quansah,ENG,DEF,jarell_quansah__eng,Jarell Quansah,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49438,Lewis Hall,ENG,DEF,lewis_hall__eng,Lewis Hall,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49922,Valentino Livramento,ENG,DEF,valentino_livramento__eng,Valentino Livramento,ENG,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49273,Jerome Opoku,GHA,DEF,jerome_opoku__gha,Jerome Opoku,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49711,Patric Pfeiffer,GHA,DEF,patric_pfeiffer__gha,Patric Pfeiffer,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49403,Kojo Peprah Oppong,GHA,DEF,kojo_peprah_oppong__gha,Kojo Peprah Oppong,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48781,Alexander Djiku,GHA,DEF,alexander_djiku__gha,Alexander Djiku,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49017,Derrick Köhn,GHA,DEF,derrick_kohn__gha,Derrick Köhn,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48925,Caleb Yirenkyi,GHA,DEF,caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49137,Gideon Mensah,GHA,DEF,gideon_mensah__gha,Gideon Mensah,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49018,Derrick Luckassen,GHA,DEF,derrick_luckassen__gha,Derrick Luckassen,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49521,Marvin Senaya,GHA,DEF,marvin_senaya__gha,Marvin Senaya,GHA,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49986,Yuto Nagatomo,JPN,DEF,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50027,Ko Itakura,JPN,DEF,ko_itakura__jpn,Ko Itakura,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
50028,Takehiro Tomiyasu,JPN,DEF,takehiro_tomiyasu__jpn,Takehiro Tomiyasu,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
48880,Ayumu Seko,JPN,DEF,ayumu_seko__jpn,Ayumu Seko,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49912,Tsuyoshi Watanabe,JPN,DEF,tsuyoshi_watanabe__jpn,Tsuyoshi Watanabe,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49984,Yukinari Sugawara,JPN,DEF,yukinari_sugawara__jpn,Yukinari Sugawara,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49360,Junnosuke Suzuki,JPN,DEF,junnosuke_suzuki__jpn,Junnosuke Suzuki,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49846,Shogo Taniguchi,JPN,DEF,shogo_taniguchi__jpn,Shogo Taniguchi,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49186,Hiroki Ito,JPN,DEF,hiroki_ito__jpn,Hiroki Ito,JPN,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49568,Min-jae Kim,KOR,DEF,kim_min_jae__kor,Min-jae Kim,KOR,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49605,Moon-Hwan Kim,KOR,DEF,moon_hwan_kim__kor,Moon-Hwan Kim,KOR,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49981,Yu-Min Cho,KOR,DEF,yu_min_cho__kor,Yu-Min Cho,KOR,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49167,Han-beom Lee,KOR,DEF,han_beom_lee__kor,Han-beom Lee,KOR,DEF,name_team_position,data\holdet_players_game_616_flat.csv
49869,Tae-Seok Lee,KOR,DEF,tae_seok_lee__kor,Tae-Seok Lee,KOR,DEF,name_team_position,data\holdet_players_game_616_flat.csv
