match_id,home,away,kickoff_dk,team_id,opponent_team_id,is_home,match_raw,team_raw,clean_sheet_yes_odds,clean_sheet_no_odds,clean_sheet_yes_implied,clean_sheet_no_implied,clean_sheet_prob_fair,source
59,TUR,USA,2026-06-26 04:00,TUR,USA,1,Türkiye v USA,Türkiye,3.4,1.3,0.294118,0.769231,0.276596,bet365 clean sheet yes/no 2026-06-02
59,TUR,USA,2026-06-26 04:00,USA,TUR,0,Türkiye v USA,USA,3.4,1.3,0.294118,0.769231,0.276596,bet365 clean sheet yes/no 2026-06-02
60,PAR,AUS,2026-06-26 04:00,AUS,PAR,0,Paraguay v Australia,Australia,3.5,1.28,0.285714,0.78125,0.267782,bet365 clean sheet yes/no 2026-06-02
60,PAR,AUS,2026-06-26 04:00,PAR,AUS,1,Paraguay v Australia,Paraguay,2.5,1.5,0.4,0.666667,0.375,bet365 clean sheet yes/no 2026-06-02
61,NOR,FRA,2026-06-26 21:00,FRA,NOR,0,Norway v France,France,2.5,1.5,0.4,0.666667,0.375,bet365 clean sheet yes/no 2026-06-02
61,NOR,FRA,2026-06-26 21:00,NOR,FRA,1,Norway v France,Norway,4.5,1.18,0.222222,0.847458,0.207746,bet365 clean sheet yes/no 2026-06-02
62,SEN,IRQ,2026-06-26 21:00,IRQ,SEN,0,Senegal v Iraq,Iraq,6,1.12,0.166667,0.892857,0.157303,bet365 clean sheet yes/no 2026-06-02
62,SEN,IRQ,2026-06-26 21:00,SEN,IRQ,1,Senegal v Iraq,Senegal,1.83,1.83,0.546448,0.546448,0.5,bet365 clean sheet yes/no 2026-06-02
63,CPV,KSA,2026-06-27 02:00,CPV,KSA,1,Cape Verde v Saudi Arabia,Cape Verde,2.75,1.4,0.363636,0.714286,0.337349,bet365 clean sheet yes/no 2026-06-02
63,CPV,KSA,2026-06-27 02:00,KSA,CPV,0,Cape Verde v Saudi Arabia,Saudi Arabia,3,1.36,0.333333,0.735294,0.311927,bet365 clean sheet yes/no 2026-06-02
64,URU,ESP,2026-06-27 02:00,ESP,URU,0,Uruguay v Spain,Spain,2.2,1.61,0.454545,0.621118,0.422572,bet365 clean sheet yes/no 2026-06-02
64,URU,ESP,2026-06-27 02:00,URU,ESP,1,Uruguay v Spain,Uruguay,5.5,1.14,0.181818,0.877193,0.171687,bet365 clean sheet yes/no 2026-06-02
65,NZL,BEL,2026-06-27 05:00,BEL,NZL,0,New Zealand v Belgium,Belgium,1.8,1.9,0.555556,0.526316,0.513514,bet365 clean sheet yes/no 2026-06-02
65,NZL,BEL,2026-06-27 05:00,NZL,BEL,1,New Zealand v Belgium,New Zealand,9,1.071,0.111111,0.933707,0.106345,bet365 clean sheet yes/no 2026-06-02
66,EGY,IRN,2026-06-27 05:00,EGY,IRN,1,Egypt v Iran,Egypt,2.25,1.57,0.444444,0.636943,0.410995,bet365 clean sheet yes/no 2026-06-02
66,EGY,IRN,2026-06-27 05:00,IRN,EGY,0,Egypt v Iran,Iran,3.25,1.33,0.307692,0.75188,0.290393,bet365 clean sheet yes/no 2026-06-02
67,CRO,GHA,2026-06-27 23:00,CRO,GHA,1,Croatia v Ghana,Croatia,2.1,1.66,0.47619,0.60241,0.441489,bet365 clean sheet yes/no 2026-06-02
67,CRO,GHA,2026-06-27 23:00,GHA,CRO,0,Croatia v Ghana,Ghana,4.33,1.2,0.230947,0.833333,0.216998,bet365 clean sheet yes/no 2026-06-02
68,PAN,ENG,2026-06-27 23:00,ENG,PAN,0,Panama v England,England,1.72,2,0.581395,0.5,0.537634,bet365 clean sheet yes/no 2026-06-02
68,PAN,ENG,2026-06-27 23:00,PAN,ENG,1,Panama v England,Panama,9,1.071,0.111111,0.933707,0.106345,bet365 clean sheet yes/no 2026-06-02
69,COD,UZB,2026-06-28 01:30,COD,UZB,1,DR Congo v Uzbekistan,DR Congo,2.75,1.4,0.363636,0.714286,0.337349,bet365 clean sheet yes/no 2026-06-02
69,COD,UZB,2026-06-28 01:30,UZB,COD,0,DR Congo v Uzbekistan,Uzbekistan,3,1.36,0.333333,0.735294,0.311927,bet365 clean sheet yes/no 2026-06-02
70,COL,POR,2026-06-28 01:30,COL,POR,1,Colombia v Portugal,Colombia,3.75,1.25,0.266667,0.8,0.25,bet365 clean sheet yes/no 2026-06-02
70,COL,POR,2026-06-28 01:30,POR,COL,0,Colombia v Portugal,Portugal,2.62,1.44,0.381679,0.694444,0.35468,bet365 clean sheet yes/no 2026-06-02
71,ALG,AUT,2026-06-28 04:00,ALG,AUT,1,Algeria v Austria,Algeria,3.4,1.3,0.294118,0.769231,0.276596,bet365 clean sheet yes/no 2026-06-02
71,ALG,AUT,2026-06-28 04:00,AUT,ALG,0,Algeria v Austria,Austria,2.62,1.44,0.381679,0.694444,0.35468,bet365 clean sheet yes/no 2026-06-02
72,JOR,ARG,2026-06-28 04:00,ARG,JOR,0,Jordan v Argentina,Argentina,1.61,2.2,0.621118,0.454545,0.577428,bet365 clean sheet yes/no 2026-06-02
72,JOR,ARG,2026-06-28 04:00,JOR,ARG,1,Jordan v Argentina,Jordan,11,1.05,0.090909,0.952381,0.087137,bet365 clean sheet yes/no 2026-06-02
