player_id,holdet_player_id,player_name,team_name,position,match_method,old_price,old_holdet_price,new_price,diff
richie_laryea__can,49772,Richie Laryea,Canada,DEF,holdet_player_id,3166000,3166000,3024000,-142000
alistair_johnston__can,48807,Alistair Johnston,Canada,DEF,holdet_player_id,3146000,3146000,2994000,-152000
derek_cornelius__can,49014,Derek Cornelius,Canada,DEF,holdet_player_id,2556000,2556000,2514000,-42000
joel_waterman__can,49299,Joel Waterman,Canada,DEF,holdet_player_id,2490000,2490000,2495000,5000
luc_de_fougerolles__can,49449,Luc De Fougerolles,Canada,DEF,holdet_player_id,2116000,2116000,1994000,-122000
shurandy_sambo__cuw,49848,Shurandy Sambo,Curaçao,DEF,holdet_player_id,1990000,1990000,1995000,5000
armando_obispo__cuw,50041,Armando Obispo,Curaçao,DEF,holdet_player_id,2015000,2015000,1953000,-62000
riechedly_bazoer__cuw,49773,Riechedly Bazoer,Curaçao,DEF,holdet_player_id,1948000,1948000,1953000,5000
juri_n_gaari__cuw,49362,Jurien Gaari,Curaçao,DEF,holdet_player_id,2537000,2537000,2495000,-42000
sherel_floranus__cuw,49844,Sherel Floranus,Curaçao,DEF,holdet_player_id,2515000,2515000,2453000,-62000
joshua_brenet__cuw,49335,Joshua Brenet,Curaçao,DEF,holdet_player_id,2557000,2557000,2495000,-62000
roshon_van_eijma__cuw,49796,Roshon van Eijma,Curaçao,DEF,holdet_player_id,2507000,2507000,2495000,-12000
livano_comenencia__cuw,49444,Livano Comenencia,Curaçao,DEF,holdet_player_id,2680000,2680000,2628000,-52000
deveron_fonville__cuw,50040,Deveron Fonville,Curaçao,DEF,holdet_player_id,2015000,2015000,1953000,-62000
keeto_thermoncy__hai,50046,Keeto Thermoncy,Haiti,DEF,holdet_player_id,1990000,1990000,1995000,5000
wilguens_paugain__hai,49944,Wilguens Paugain,Haiti,DEF,holdet_player_id,1990000,1990000,1995000,5000
jean_kevin_duverne__hai,49263,Jean-Kevin Duverne,Haiti,DEF,holdet_player_id,2470000,2470000,2495000,25000
ricardo_ad__hai,49765,Ricardo Ade,Haiti,DEF,holdet_player_id,2476000,2476000,2491000,15000
garven_michee_metusala__hai,50734,Garven-Michee Metusala,Haiti,DEF,holdet_player_id,1990000,1990000,1995000,5000
carlens_arcus__hai,48933,Carlens Arcus,Haiti,DEF,holdet_player_id,1946000,1946000,1991000,45000
martin_exp_rience__hai,49513,Martin Experience,Haiti,DEF,holdet_player_id,1966000,1966000,1991000,25000
duke_lacroix__hai,49037,Duke Lacroix,Haiti,DEF,holdet_player_id,2490000,2490000,2495000,5000
hannes_delcroix__hai,49168,Hannes Delcroix,Haiti,DEF,holdet_player_id,2466000,2466000,2491000,25000
johny_placide__hai,49309,Johny Placide,Haiti,GK,holdet_player_id,2481000,2481000,2496000,15000
alexandre_pierre__hai,48787,Alexandre Pierre,Haiti,GK,holdet_player_id,2490000,2490000,2495000,5000
josue_duverger__hai,49341,Josue Duverger,Haiti,GK,holdet_player_id,2490000,2490000,2495000,5000
tyrick_bodak__cuw,49916,Tyrick Bodak,Curaçao,GK,holdet_player_id,2490000,2490000,2495000,5000
trevor_doornbusch__cuw,49910,Trevor Doornbusch,Curaçao,GK,holdet_player_id,2490000,2490000,2495000,5000
eloy_room__cuw,49062,Eloy Room,Curaçao,GK,holdet_player_id,2668000,2668000,2473000,-195000
dayne_st_clair__can,48999,Dayne St. Clair,Canada,GK,holdet_player_id,3490000,3490000,3495000,5000
maxime_cr_peau__can,49540,Maxime Crepeau,Canada,GK,holdet_player_id,3196000,3196000,3029000,-167000
owen_goodman__can,49700,Owen Goodman,Canada,GK,holdet_player_id,2490000,2490000,2495000,5000
angus_gunn__sco,48837,Angus Gunn,Skotland,GK,holdet_player_id,3623000,3623000,3627000,4000
craig_gordon__sco,50060,Craig Gordon,Skotland,GK,holdet_player_id,2490000,2490000,2495000,5000
mahmoud_abunada__qat,49476,Mahmoud Abunada,Qatar,GK,holdet_player_id,2523000,2523000,2552000,29000
liam_kelly__sco,49439,Liam Kelly,Skotland,GK,holdet_player_id,2990000,2990000,2995000,5000
meshaal_barsham__qat,49553,Meshaal Barsham,Qatar,GK,holdet_player_id,2490000,2490000,2495000,5000
salah_zakaria__qat,50400,Salah Zakaria,Qatar,GK,holdet_player_id,2490000,2490000,2495000,5000
abdelmouhib_chamakh__tun,48719,Abdelmouhib Chamakh,Tunesien,GK,holdet_player_id,2469000,2469000,2474000,5000
aymen_dahmen__tun,48875,Aymen Dahmen,Tunesien,GK,holdet_player_id,2972000,2972000,2995000,23000
sabri_ben_hessen__tun,49809,Sabri Ben Hessen,Tunesien,GK,holdet_player_id,2490000,2490000,2495000,5000
ahmed_reda_tagnaouti__mar,50257,Ahmed Reda Tagnaouti,Marokko,GK,holdet_player_id,2490000,2490000,2495000,5000
yassine_bono_bounou__mar,49962,Yassine 'Bono' Bounou,Marokko,GK,holdet_player_id,3651000,3651000,3534000,-117000
munir_mohamedi_el_kajoui__mar,49617,Munir Mohamedi El Kajoui,Marokko,GK,holdet_player_id,2990000,2990000,2995000,5000
nikola_vasilj__bih,49657,Nikola Vasilj,Bosnien-Hercegovina,GK,holdet_player_id,3011000,3011000,3031000,20000
gonzalo_valle__ecu,49147,Gonzalo Valle,Ecuador,GK,holdet_player_id,2990000,2990000,2995000,5000
hern_n_gal_ndez__ecu,49182,Hernan Galindez,Ecuador,GK,holdet_player_id,3608000,3608000,3506000,-102000
moises_ramirez__ecu,49602,Moises Ramirez,Ecuador,GK,holdet_player_id,2490000,2490000,2495000,5000
chris_brady__usa,48955,Chris Brady,USA,GK,holdet_player_id,2490000,2490000,2495000,5000
matt_freese__usa,49531,Matt Freese,USA,GK,holdet_player_id,3701000,3701000,3564000,-137000
