match_id,home,away,kickoff_dk,home_win_odds,draw_odds,away_win_odds,home_clean_sheet_odds,away_clean_sheet_odds,over_2_5_odds,under_2_5_odds,source,odds_fetched_at,odds_fetched_label,home_team_id,away_team_id,stage,group
65,NZL,BEL,2026-06-27 05:00,10.50,5.60,1.30,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
66,EGY,IRN,2026-06-27 05:00,2.15,3.15,3.85,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
66,EGY,IRN,2026-06-27 05:00,2.28,3.15,3.70,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
67,CRO,GHA,2026-06-27 23:00,1.67,3.8,5.6,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
67,CRO,GHA,2026-06-27 23:00,1.67,3.80,5.60,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
68,PAN,ENG,2026-06-27 23:00,12,6.25,1.26,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
68,PAN,ENG,2026-06-27 23:00,11.50,5.80,1.30,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
69,COD,UZB,2026-06-28 01:30,2.06,3.75,3.45,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
69,COD,UZB,2026-06-28 01:30,2.35,3.25,3.20,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
70,COL,POR,2026-06-28 01:30,3.55,3.5,2.1,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
70,COL,POR,2026-06-28 01:30,3.60,3.35,2.14,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
71,ALG,AUT,2026-06-28 04:00,3.60,3.35,2.23,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
71,ALG,AUT,2026-06-28 04:00,3.60,3.35,2.23,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
72,JOR,ARG,2026-06-28 04:00,15,6.5,1.22,,,,,Unibet,2026-06-20T12:13:47+02:00,20.06 kl. 12:13,,,,
72,JOR,ARG,2026-06-28 04:00,15.00,7.00,1.21,,,,,Unibet,2026-06-15T20:06:00+02:00,15.06 kl. 20:06,,,,
1,MEX,RSA,2026-06-11 21:00,1.42,4.7,9,,,,,Unibet,2026-06-11T19:12:00+02:00,11.06 kl. 19:12,,,,
