player_id,player_name,team_id,position,price,start_prob,missing_goal_share_norm,missing_assist_share_norm,missing_sot_share_norm,round_context_source,current_weighted_group_stage_ev_before_price_quality,current_optimizer_ev,price_band,offensive_role_score,fallback_base_ev_variant_a,fallback_base_ev_variant_b,confidence,reason_flags
brian_gutierrez__mex,Brian Gutierrez,MEX,MID,2500000,0.6683,True,True,True,distributed_from_existing_optimizer_ev,0.470468,0.576323,lower_mid,0.6930195270051013,2.0988530859725767,1.1530080212146763,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
thapelo_morena__rsa,Thapelo Morena,RSA,FWD,3000000,0.5424,True,True,True,distributed_from_existing_optimizer_ev,0.250344,0.306671,upper_mid,0.6898458990171455,1.3181143406316804,0.2402938464188396,low,goal_no_team_residual;legacy_aggregate_round_context;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
george_hirst__sco,George Hirst,SCO,FWD,2500000,0.5568,True,True,True,distributed_from_existing_optimizer_ev,0.26358,0.322886,lower_mid,0.6830448865674015,1.884512915026078,0.9369886890021789,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
baha_a_faisal__jor,Baha'a Faisal,JOR,FWD,2500000,0.5573,True,True,True,distributed_from_existing_optimizer_ev,0.227857,0.279125,lower_mid,0.6820682760480449,1.169744207769078,1.1069829383076442,high,legacy_aggregate_round_context
simon_adingra__civ,Simon Adingra,CIV,FWD,2500000,0.5614,True,True,True,distributed_from_existing_optimizer_ev,0.158559,0.194235,lower_mid,0.6811128148614133,1.3732536626614216,1.0299941016462295,medium,legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
facundo_pellistri__uru,Facundo Pellistri,URU,FWD,3500000,0.4338,True,True,True,distributed_from_existing_optimizer_ev,0.482955,0.59162,upper_mid,0.6761402656053122,1.9974416363829903,1.2705516462201059,high,legacy_aggregate_round_context;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
mahmoud_trezeguet__egy,Mahmoud Trezeguet,EGY,MID,3000000,0.92,True,True,True,distributed_from_existing_optimizer_ev,0.418434,1.157722,upper_mid,0.6750358875710855,2.2218254857392936,1.6258844587312642,high,high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
folarin_balogun__usa,Folarin Balogun,USA,FWD,4000000,0.395,True,True,True,distributed_from_existing_optimizer_ev,0.446051,0.546412,premium,0.6748748641525469,1.7187627789517013,1.1329623781074403,high,legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
rani_khedira__tun,Rani Khedira,TUN,MID,3000000,0.9119,True,True,True,distributed_from_existing_optimizer_ev,0.433515,1.166016,upper_mid,0.6728194134879415,1.4545467690473335,0.38356711019909717,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
bongokuhle_hlongwane__rsa,Bongokuhle Hlongwane,RSA,FWD,2000000,0.5585,True,True,True,distributed_from_existing_optimizer_ev,0.280048,0.343059,budget,0.6725357713420266,1.329587817060525,0.16325468641514893,low,goal_no_team_residual;legacy_aggregate_round_context;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
salem_al_dawsari__ksa,Salem Al-Dawsari,KSA,MID,3000000,0.9032,True,True,True,distributed_from_existing_optimizer_ev,0.349727,1.119933,upper_mid,0.669023023950145,1.485578829924348,1.6050094954669258,medium,high_priority_offensive_starter;legacy_aggregate_round_context
jurgen_locadia__cuw,Jürgen Locadia,CUW,FWD,2000000,0.5505,True,True,True,distributed_from_existing_optimizer_ev,0.165119,0.202271,budget,0.666511237126648,1.1213378495839852,0.13736332235517582,low,goal_no_team_residual;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap
mohamed_al_mannai__qat,Mohamed Al-Mannai,QAT,MID,2500000,0.5964,True,True,True,distributed_from_existing_optimizer_ev,0.26477,0.324343,lower_mid,0.6649623964855181,0.7649742629587241,0.6050934324719225,high,legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share
elijah_just__nzl,Elijah Just,NZL,MID,3000000,0.8821,True,True,True,distributed_from_existing_optimizer_ev,0.340123,1.114651,upper_mid,0.6625570408427379,1.250952728558491,0.40279940528846253,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
marwan_ateya__egy,Marwan Ateya,EGY,MID,3000000,0.8808,True,True,True,distributed_from_existing_optimizer_ev,0.361653,1.126492,upper_mid,0.6624718829432316,2.2021854907270133,1.61353850567371,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap
odildzhon_khamrobekov__uzb,Odildzhon Khamrobekov,UZB,MID,2500000,0.939,True,True,True,distributed_from_existing_optimizer_ev,0.300496,0.718215,lower_mid,0.6578824832860944,1.3911670751530991,1.1705258292467273,medium,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap
lukas_provod__cze,Lukas Provod,CZE,MID,3000000,0.8588,True,True,True,distributed_from_existing_optimizer_ev,0.251616,1.065972,upper_mid,0.6543138182593472,2.0951837330475773,1.9130962630354706,medium,high_priority_offensive_starter;legacy_aggregate_round_context;match_1_assist_position_rate;match_1_goal_position_rate;match_1_sot_position_rate;match_2_assist_position_rate;match_2_goal_position_rate;match_2_sot_position_rate;match_3_assist_position_rate;match_3_goal_position_rate;match_3_sot_position_rate
