player_id,player_name,team_id,position,price,start_prob,fallback_candidate,fallback_applied,current_base_ev,variant_a_base_ev,variant_b_base_ev,raw_hybrid_base_ev_before_threshold,hybrid_base_ev,base_ev_lift,current_price_quality_ev,dry_run_price_quality_ev,current_optimizer_ev,dry_run_optimizer_ev,optimizer_ev_lift,cap_reason,confidence,reason_flags,match_1_current_ev,match_1_dry_run_ev,match_2_current_ev,match_2_dry_run_ev,match_3_current_ev,match_3_dry_run_ev,shares_status,round_context_source
fredrik_aursnes__nor,Fredrik Aursnes,NOR,MID,3000000,0.7786,yes,yes,0.444019,2.2341690964614784,0.9898589881369512,1.1878307857643413,1.1878307857643413,0.7438117857643414,2.061296,2.063755,1.171793,1.581997,0.410204,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap,0.185073,0.5016768932895013,0.137254,0.3945877110068163,0.121692,0.2915661814680238,missing_shares,distributed_from_existing_optimizer_ev
yoane_wissa__cod,Yoane Wissa,COD,FWD,3500000,0.8342,yes,yes,0.2736,2.5615140125750377,0.7499369534475546,0.8999243441370656,0.8999243441370656,0.6263243441370656,2.717354,2.7189,1.373289,1.718464,0.345175,variant_b_times_1_20,low,assist_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;set_piece_role_available_not_used_as_direct_share;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.031396,0.2303137605089201,0.106015,0.2949868724834741,0.136189,0.3746237111446714,missing_shares,distributed_from_existing_optimizer_ev
bara_sapoko_ndiaye__sen,Bara Sapoko Ndiaye,SEN,MID,2000000,0.8851,yes,yes,0.346013,2.018554116211588,0.7717504218077795,0.9261005061693354,0.9261005061693354,0.5800875061693354,0.49376,0.497131,0.412499,0.733064,0.32056500000000004,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.052457,0.21335733671957938,0.131461,0.30599398343072914,0.162095,0.4067491860190269,missing_shares,distributed_from_existing_optimizer_ev
josue_casimir__hai,Josue Casimir,HAI,FWD,2500000,0.8939,yes,yes,0.269483,1.2857466893938834,0.5545372446340129,0.6654446935608155,0.6654446935608155,0.3959616935608155,1.302526,1.308452,0.734353,0.954798,0.220445,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.063622,0.2025559275651984,0.102978,0.23496523118693846,0.102883,0.2279235348086786,missing_shares,distributed_from_existing_optimizer_ev
jovo_lukic__bih,Jovo Lukic,BIH,FWD,2000000,0.7493,yes,yes,0.303576,2.0592656410124395,0.5154089034534274,0.6184906841441128,0.6184906841441128,0.3149146841441128,0.541249,0.549532,0.410529,0.587459,0.17692999999999998,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.079163,0.17566828832868014,0.097409,0.18397382944503926,0.127004,0.25884856637039333,missing_shares,distributed_from_existing_optimizer_ev
dominique_simon__hai,Dominique Simon,HAI,MID,2000000,0.8851,yes,yes,0.265426,1.1030754562067386,0.4785926007907539,0.5743111209489047,0.5743111209489047,0.3088851209489047,0.49376,0.497131,0.368176,0.539581,0.17140499999999997,variant_b_times_1_20,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.062503,0.17088374419259814,0.101497,0.2044587069829682,0.101426,0.19896866977333832,missing_shares,distributed_from_existing_optimizer_ev
amine_gouiri__alg,Amine Gouiri,ALG,FWD,3000000,0.8025,yes,no,0.308846,2.3546381547182715,0.3574147067607041,0.42889764811284486,0.308846,0.0,2.128441,2.13181,1.127664,1.12918,0.0015160000000000728,variant_b_times_1_20;lift_below_0.25_ignored,low,assist_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.039989,0.039989,0.132744,0.132744,0.136113,0.136113,missing_shares,distributed_from_existing_optimizer_ev
houssem_aouar__alg,Houssem Aouar,ALG,MID,2500000,0.7734,yes,no,0.28476,1.6077472233228096,0.2238736995375596,0.28476,0.28476,0.0,1.22876,1.231704,0.70956,0.710885,0.0013250000000000206,variant_b_times_1_20;no_positive_lift,low,assist_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.035187,0.035187,0.123125,0.123125,0.126448,0.126448,missing_shares,distributed_from_existing_optimizer_ev
rani_khedira__tun,Rani Khedira,TUN,MID,3000000,0.9119,yes,no,0.433515,1.4545467690473337,0.3835671101990971,0.4602805322389165,0.433515,0.0,2.061296,2.063755,1.166016,1.167123,0.0011069999999999691,variant_b_times_1_20;lift_below_0.25_ignored,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.092964,0.092964,0.179251,0.179251,0.1613,0.1613,missing_shares,distributed_from_existing_optimizer_ev
sphephelo_yaya_sithole__rsa,Sphephelo Yaya Sithole,RSA,MID,3000000,0.8032,yes,no,0.276811,1.3620020370123442,0.2265140073222543,0.276811,0.276811,0.0,2.061296,2.063755,1.079829,1.080936,0.0011069999999999691,variant_b_times_1_20;no_positive_lift,low,goal_no_team_residual;high_priority_offensive_starter;legacy_aggregate_round_context;no_transfermarkt_usage_match;sot_no_team_residual;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap;variant_a_sot_team_share_over_cap,0.047241,0.047241,0.105957,0.105957,0.123613,0.123613,missing_shares,distributed_from_existing_optimizer_ev
elijah_just__nzl,Elijah Just,NZL,MID,3000000,0.8821,yes,no,0.340123,1.250952728558491,0.4027994052884625,0.48335928634615494,0.340123,0.0,2.061296,2.063755,1.114651,1.115758,0.0011069999999999691,variant_b_times_1_20;lift_below_0.25_ignored,high,high_priority_offensive_starter;legacy_aggregate_round_context;variant_a_assist_team_share_over_cap;variant_a_goal_team_share_over_cap,0.068725,0.068725,0.14319,0.14319,0.128208,0.128208,missing_shares,distributed_from_existing_optimizer_ev
antonio_nusa__nor,Antonio Nusa,NOR,MID,3500000,0.82,no,no,3.697805,,,,3.697805,0.0,2.503689,2.505892,3.160453,3.161444,0.0009909999999999641,already_has_offensive_shares_not_candidate,,,1.701233,1.701233,1.31693,1.31693,0.679642,0.679642,already_shares_excluded,
brian_gutierrez__mex,Brian Gutierrez,MEX,MID,2500000,0.6683,no,no,0.470468,,,,0.470468,0.0,0.705702,0.705702,0.576323,0.576323,0.0,not_eligible_position_or_start_prob,,,0.20213,0.20213,0.150094,0.150094,0.118244,0.118244,missing_shares,distributed_from_existing_optimizer_ev
romelu_lukaku__bel,Romelu Lukaku,BEL,FWD,4500000,0.6346,no,no,0.437161,,,,0.437161,0.0,0.655741,0.655741,0.535522,0.535522,0.0,not_eligible_position_or_start_prob,,,0.175922,0.175922,0.141245,0.141245,0.119994,0.119994,missing_shares,distributed_from_existing_optimizer_ev
