player_id,player_name,team_id,team_name,position,price_m,price_rank_pct_position,model_ev_before_price_quality,price_quality_raw_ev,price_quality_appearance_scaled_ev,price_quality_base_capped_ev,price_quality_ev,weighted_group_stage_ev,price_quality_weight,price_quality_spread_multiplier,price_quality_applied,price_quality_method,component_source,base_ev_source,repair_status
donyell_malen__ned,Donyell Malen,NED,Holland,FWD,4.5,0.82197,3.042964,3.370176,3.370176,3.370176,3.370176,3.190209,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
marcel_sabitzer__aut,Marcel Sabitzer,AUT,Østrig,MID,4.5,0.927665,3.481205,2.805869,2.805869,2.805869,2.805869,3.177304,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
dan_ndoye__sui,Dan Ndoye,SUI,Schweiz,FWD,4,0.753788,3.224579,3.112241,3.112241,3.112241,3.112241,3.174027,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
arthur_theate__bel,Arthur Theate,BEL,Belgien,DEF,3,0.71197,3.517554,2.744375,2.744375,2.744375,2.744375,3.169623,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
antonio_nusa__nor,Antonio Nusa,NOR,Norge,MID,3.5,0.817259,3.697808,2.503334,2.503334,2.503334,2.503334,3.160295,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
ugurcan_cakir__tur,Ugurcan Cakir,TUR,Tyrkiet,GK,4,0.803846,3.039946,3.303123,3.303123,3.303123,3.303123,3.158376,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
nico_o_reilly__eng,Nico O'Reilly,ENG,England,DEF,4,0.925187,2.956697,3.372133,3.372133,3.372133,3.372133,3.143643,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
remo_freuler__sui,Remo Freuler,SUI,Schweiz,MID,3.5,0.817259,3.647943,2.503334,2.503334,2.503334,2.503334,3.132869,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
math_as_olivera__uru,Mathias Olivera,URU,Uruguay,DEF,4,0.925187,2.937078,3.372133,3.372133,3.372133,3.372133,3.132853,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
casemiro__bra,Casemiro,BRA,Brasilien,MID,4.5,0.927665,3.388265,2.805869,2.805869,2.805869,2.805869,3.126187,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
marc_gu_hi__eng,Marc Guehi,ENG,England,DEF,4.5,0.972569,3.090993,3.511635,3.156458,3.511635,3.156458,3.120452,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
nico_elvedi__sui,Nico Elvedi,SUI,Schweiz,DEF,3,0.71197,3.420827,2.744375,2.744375,2.744375,2.744375,3.116423,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
scott_mctominay__sco,Scott McTominay,SCO,Skotland,MID,4.5,0.927665,3.360179,2.805869,2.805869,2.805869,2.805869,3.11074,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
pedro_porro__esp,Pedro Porro,ESP,Spanien,DEF,4.5,0.972569,3.302255,3.511635,2.870009,3.511635,2.870009,3.107744,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
ronald_ara_jo__uru,Ronald Araujo,URU,Uruguay,DEF,4.5,0.972569,2.770869,3.511635,3.511635,3.511635,3.511635,3.104214,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
piero_hincapi__ecu,Piero Hincapie,ECU,Ecuador,DEF,3.5,0.857855,3.034855,3.173894,3.173894,3.173894,3.173894,3.097422,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
florian_wirtz__ger,Florian Wirtz,GER,Tyskland,MID,7.5,1,3.153213,3.004082,3.004082,3.004082,3.004082,3.086104,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
johan_mojica__col,Johan Mojica,COL,Colombia,DEF,3.5,0.857855,3.012137,3.173894,3.173894,3.173894,3.173894,3.084928,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
alistair_johnston__can,Alistair Johnston,CAN,Canada,DEF,3,0.71197,3.358718,2.744375,2.744375,2.744375,2.744375,3.082264,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
alphonso_davies__can,Alphonso Davies,CAN,Canada,DEF,4,0.925187,2.843287,3.372133,3.372133,3.372133,3.372133,3.081268,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,Belgien,MID,7,0.996193,3.152601,2.993649,2.993649,2.993649,2.993649,3.081073,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
leandro_trossard__bel,Leandro Trossard,BEL,Belgien,FWD,5.5,0.905303,3.07142,3.685429,3.088916,3.685429,3.088916,3.079293,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
mehdi_taremi__irn,Mehdi Taremi,IRN,Iran,FWD,3.5,0.649621,3.369439,2.718174,2.718174,2.718174,2.718174,3.07637,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
zion_suzuki__jpn,Zion Suzuki,JPN,Japan,GK,4,0.803846,2.869269,3.303123,3.303123,3.303123,3.303123,3.064503,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
achraf_hakimi__mar,Achraf Hakimi,MAR,Marokko,DEF,4,0.925187,2.806517,3.372133,3.372133,3.372133,3.372133,3.061044,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
nahuel_molina__arg,Nahuel Molina,ARG,Argentina,DEF,4,0.925187,2.947857,3.372133,3.195819,3.372133,3.195819,3.05944,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
gonzalo_plata__ecu,Gonzalo Plata,ECU,Ecuador,MID,3.5,0.817259,3.503139,2.503334,2.503334,2.503334,2.503334,3.053227,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
alexander_s_rloth__nor,Alexander Sørloth,NOR,Norge,FWD,4.5,0.82197,2.76644,3.370176,3.370176,3.370176,3.370176,3.038121,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
willian_pacho__ecu,Willian Pacho,ECU,Ecuador,DEF,3,0.71197,3.214555,2.744375,2.744375,2.744375,2.744375,3.002974,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
arda_g_ler__tur,Arda Güler,TUR,Tyrkiet,MID,4.5,0.927665,3.250835,2.805869,2.684816,2.805869,2.684816,2.996126,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
dayot_upamecano__fra,Dayot Upamecano,FRA,Frankrig,DEF,4,0.925187,2.880741,3.372133,3.13512,3.372133,3.13512,2.995212,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
ruben_vargas__sui,Ruben Vargas,SUI,Schweiz,FWD,3.5,0.649621,3.210894,2.718174,2.718174,2.718174,2.718174,2.98917,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
nicol_s_tagliafico__arg,Nicolas Tagliafico,ARG,Argentina,DEF,4,0.925187,2.85432,3.372133,3.102844,3.372133,3.102844,2.966156,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
lyle_foster__rsa,Lyle Foster,RSA,Sydafrika,FWD,3.5,0.649621,3.124495,2.718174,2.718174,2.718174,2.718174,2.941651,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
julio_soler__arg,Julio Soler,ARG,Argentina,DEF,3,0.71197,3.082894,2.744375,2.744375,2.744375,2.744375,2.93056,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
john_stones__eng,John Stones,ENG,England,DEF,4,0.925187,2.718145,3.372133,3.148127,3.372133,3.148127,2.911637,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
alexander_schlager__aut,Alexander Schlager,AUT,Østrig,GK,3.5,0.661538,3.04705,2.743458,2.743458,2.743458,2.743458,2.910434,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,Brasilien,DEF,4.5,0.972569,2.763632,3.511635,3.030541,3.511635,3.030541,2.883741,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
jules_kounde__fra,Jules Kounde,FRA,Frankrig,DEF,3.5,0.857855,2.702047,3.173894,3.089559,3.173894,3.089559,2.876427,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
jo_o_cancelo__por,João Cancelo,POR,Portugal,DEF,5,0.996259,2.515093,3.581386,3.312782,3.581386,3.312782,2.874053,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
declan_rice__eng,Declan Rice,ENG,England,MID,4.5,0.927665,2.926279,2.805869,2.805869,2.805869,2.805869,2.872095,0.45,1.35,True,raw_for_likely_starter,complete_components,component_weighted_sum,component_base_rebuilt
bukayo_saka__eng,Bukayo Saka,ENG,England,FWD,6.5,0.956439,2.327687,3.87888,3.580207,3.491531,3.491531,2.851417,0.45,1.35,True,appearance_scaled_then_base_capped,complete_components,component_weighted_sum,component_base_rebuilt
