kind,method,resource_type,status,url,post_data,content_type
response,,,200,https://ds-static.dk/-/media/02e38c75f26c4313beeec0fb4f1653be.png,,image/webp
response,,,200,https://ds-static.dk/-/media/6090e17f70b44e1f8d539fd829a721c9.png,,image/webp
response,,,200,https://ds-static.dk/-/media/9de903ae842749009d21a66342e34c0e.svg,,image/svg+xml
response,,,200,https://ds-static.dk/-/media/890cb673c0254deabd0fc215b6548924.svg,,image/svg+xml
response,,,200,https://o72670.ingest.sentry.io/api/1264783/envelope/?sentry_key=a58e846e46ca4a388fc76b4c462058c2&sentry_version=7,,application/json
response,,,200,https://assets.sb.danskespil.dk/front-end/digitalPortal.js?noCache=20260602193443,,application/javascript
request,GET,image,,https://ds-static.dk/-/media/e4cc10a699c244b7b3e60309f503a6fe.svg,,
response,,,200,https://ds-static.dk/-/media/e4cc10a699c244b7b3e60309f503a6fe.svg,,image/svg+xml
response,,,200,https://doh.cq0.co/resolve?type=PTR&name=danskespil.dk.query.publicsuffix.zone,,application/json; charset=UTF-8
request,GET,xhr,,https://danskespil.dk/dli/scapi/common/dictionary/dictionary?path=/TimeConsumingNotification&variants=1,,
request,GET,xhr,,https://danskespil.dk/dli/scapi/common/dictionary/dictionary?path=/Onboarding&variants=1,,
response,,,200,https://danskespil.dk/dli/scapi/common/dictionary/dictionary?path=/TimeConsumingNotification&variants=1,,application/json; charset=utf-8
response,,,200,https://danskespil.dk/dli/scapi/common/dictionary/dictionary?path=/Onboarding&variants=1,,application/json; charset=utf-8
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Framework/PlayerAccountManagement/Scripts/Helpers/Consent.js?r=238-DS-363,,
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Helpers/Api.js?r=238-DS-363,,
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Button/Button.js?r=238-DS-363,,
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Modal/Modal.js?r=238-DS-363,,
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/SubscriptionFlow/NewsletterPromotion.js?r=238-DS-363,,
request,GET,script,,https://danskespil.dk/dli/BuildArtifacts/Components/DanskeSpil/Domain/Feature.LoyaltyClub/Components/Svg/Svg.js?r=238-DS-363,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/runtime.5f560c03c43e843b02d3.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2899.0786a5f99ea5f5bb865e.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/9151.daab463a547768640c39.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/6008.019353fe613aa19b8485.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8428.d422dd0507c49c2a1a0c.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/4401.db8e2ed580fc9fa7dc33.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8879.2ae035417b110ad062aa.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/3528.f653d4aa428764b2157a.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/3786.1ce8db94096faa6f3232.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/7552.e559cb6d00cf0e7774c9.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/3475.dbce2632a66972f84551.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/1934.ee8a10c1d9071741478f.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8284.0338f9c43cdf087436b4.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/4943.2bfeddee8b2a4367e579.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/1001.18565045ce5a1be12217.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/311.0fd99bb68300dd9dba4f.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/713.f2442db3cf835f85c6b5.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/9818.a169c5814092022cb36a.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/4161.02626fdeec31deafd1ec.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/6621.b91558fd17cf66c8309b.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/5671.af1ca1ed1411808390ea.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/997.e6d232759d98856f16e8.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/568.872c7af1272eb27a0e98.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/4459.9fdce4a1201486286f5f.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2972.864d44c232226dfb3909.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/7019.8f1b487f0aa08984a80a.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8532.a30b9aced599767dc899.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/5933.e88c07da0040b9c8818e.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8821.fec95279432e2f01653f.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2478.2265bf35a765fabbd14e.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2624.d0d650835a5b12ae7243.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/9489.cb8dda7ff94197ec367a.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/9038.bd6c7b1ecfc17c381ea6.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/9521.68faf7c8a6649f384b57.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/6661.2cbc40cc12d7a50c8169.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/1679.3cef4306f45c92a0cd4e.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/59.2ee0b3b0132c3bfecc94.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/6970.98feab9a96fe03be1be9.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/2010.4c0a0da12993141f7642.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/204.7cffe5ea35af6315f21f.bundle.js?v=49.4.31-SNAPSHOT,,
request,GET,script,,https://assets.sb.danskespil.dk/front-end/assets/8782.fcc9b027ec588e0e4d49.bundle.js?v=49.4.31-SNAPSHOT,,
