player_name,team_id,old_start_prob,new_start_prob,conditional_start_prob,availability_prob,availability_risk,appearance_prob,round_specific_rotation_risk,start_signal_context_note,old_start_prob_source,new_start_prob_source
Achref Abada,ALG,0.5513,0.5513,0.6411,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Sohaib Nair,ALG,0.047,0.047,0.05,0.8276,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Elliot Stroud,SWE,0.0441,0.0441,0.05,0.6622,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Youcef Atal,ALG,0.1505,0.1505,0.1677,0.7066,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Rafik Belghali,ALG,0.3872,0.3872,0.4278,0.7286,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Zineddine Belaid,ALG,0.7139,0.7139,0.8301,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Mehdi Dorval,ALG,0.044,0.044,0.05,0.6548,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Rayan Ait-Nouri,ALG,0.8409,0.8409,0.97,0.6196,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ramy Bensebaini,ALG,0.6387,0.6387,0.7213,0.6727,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Aissa Mandi,ALG,0.6614,0.6614,0.7262,0.7451,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nicolas Otamendi,ARG,0.4272,0.4272,0.467,0.7565,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nicolas Tagliafico,ARG,0.6441,0.6441,0.68,0.8489,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Leonardo Balerdi,ARG,0.4789,0.4789,0.5569,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Cristian Romero,ARG,0.9113,0.9113,0.9695,0.8286,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Julio Soler,ARG,0.8253,0.8253,0.9425,0.6449,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nahuel Molina,ARG,0.6634,0.6634,0.6948,0.8708,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Gonzalo Montiel,ARG,0.5498,0.5498,0.5849,0.8283,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Lucas Herrington,AUS,0.9119,0.9119,0.97,0.8288,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jacob Italiano,AUS,0.6669,0.6669,0.701,0.8611,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Kye Rowles,AUS,0.5974,0.5974,0.6375,0.8204,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Alessandro Circati,AUS,0.8526,0.8526,0.923,0.7819,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Cameron Burgess,AUS,0.1772,0.1772,0.1803,0.9506,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jordan Bos,AUS,0.6111,0.6111,0.6313,0.9084,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Callum Elder,AUS,0.0386,0.0386,0.05,0.35,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Aziz Behich,AUS,0.396,0.396,0.4356,0.7407,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Milos Degenek,AUS,0.1451,0.1451,0.1556,0.8058,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marquinhos,BRA,0.9004,0.9004,0.946,0.8625,low_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Douglas Santos,BRA,0.5331,0.5331,0.6199,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Alex Sandro,BRA,0.5495,0.5495,0.639,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Danilo Luiz da Silva,BRA,0.1552,0.1552,0.1758,0.665,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Eder Militão,BRA,0.6282,0.6282,0.6686,0.8275,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jason Geria,AUS,0.3356,0.3356,0.3903,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Kai Trewin,AUS,0.3258,0.3258,0.3382,0.895,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Gabriel Magalhaes,BRA,0.6041,0.6041,0.6443,0.8215,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Roger Ibanez,BRA,0.2619,0.2619,0.3045,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Bremer,BRA,0.4947,0.4947,0.5511,0.7078,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Leo Pereira,BRA,0.7,0.7,0.76,0.97,medium_risk,0.9,medium,"Manual context review: started and played full minutes in the latest three Brazil friendlies, but some starts may reflect rotation/rest for Marquinhos and other first-choice centre-backs. Real contender, not a secure starter.",transfermarkt_availability_split_2026_06_05+context_override,transfermarkt_availability_split_2026_06_05+context_override
Clement Akpa,CIV,0.4955,0.4955,0.5661,0.6439,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Wilfried Stephane Singo,CIV,0.5946,0.5946,0.6532,0.7434,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ousmane Diomande,CIV,0.3111,0.3111,0.341,0.7492,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Emmanuel Agbadou,CIV,0.537,0.537,0.6012,0.6947,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ghislain Konan,CIV,0.6295,0.6295,0.695,0.7306,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Guela Doue,CIV,0.6,0.6,0.6264,0.8797,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Odilon Kossounou,CIV,0.3673,0.3673,0.3913,0.8247,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Evan N'Dicka,CIV,0.6561,0.6561,0.7064,0.7967,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
John Stones,ENG,0.6535,0.6535,0.7024,0.8013,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Reece James,ENG,0.5367,0.5367,0.6241,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ezri Konsa,ENG,0.8094,0.8094,0.8719,0.7951,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marc Guehi,ENG,0.6292,0.6292,0.6837,0.7721,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Valentino Livramento,ENG,0.5128,0.5128,0.5618,0.7509,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Dan Burn,ENG,0.3165,0.3165,0.3366,0.8292,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Djed Spence,ENG,0.3352,0.3352,0.3489,0.8879,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jarell Quansah,ENG,0.2415,0.2415,0.2732,0.6692,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Jerome Opoku,GHA,0.2972,0.2972,0.3409,0.6338,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Nico O'Reilly,ENG,0.809,0.809,0.8879,0.746,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Alexander Djiku,GHA,0.8457,0.8457,0.97,0.6337,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Derrick Köhn,GHA,0.6632,0.6632,0.7029,0.8387,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Patric Pfeiffer,GHA,0.0464,0.0464,0.05,0.7934,unknown,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Kojo Peprah Oppong,GHA,0.3441,0.3441,0.3735,0.7748,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Caleb Yirenkyi,GHA,0.6441,0.6441,0.6844,0.8316,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Derrick Luckassen,GHA,0.0449,0.0449,0.05,0.7076,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Gideon Mensah,GHA,0.412,0.412,0.4426,0.8021,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Marvin Senaya,GHA,0.3043,0.3043,0.339,0.7076,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Yuto Nagatomo,JPN,0.1759,0.1759,0.2046,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ko Itakura,JPN,0.6152,0.6152,0.6818,0.7209,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Takehiro Tomiyasu,JPN,0.8016,0.8016,0.9321,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Yukinari Sugawara,JPN,0.2927,0.2927,0.3364,0.6284,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Junnosuke Suzuki,JPN,0.1206,0.1206,0.1308,0.7774,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Ayumu Seko,JPN,0.3023,0.3023,0.3514,0.6007,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Tsuyoshi Watanabe,JPN,0.5416,0.5416,0.6298,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Shogo Taniguchi,JPN,0.3434,0.3434,0.3993,0.6,high_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
Min-jae Kim,KOR,0.6842,0.6842,0.737,0.7953,medium_risk,,,,transfermarkt_availability_split_2026_06_05,transfermarkt_availability_split_2026_06_05
