player_name,team_id,position,price_m,current_model_pct,tm_pct,diff_pct_point,tm_competition_rows,tm_competition_starts,tm_selection_observations
Andrej Kramaric,CRO,FWD,5500000,42.4,66.4,24.1,143,75,135.0
Ibrahim Saadeh,JOR,MID,2500000,32.4,8.4,-24.0,76,20,72.0
Umar Eshmurodov,UZB,DEF,2500000,38.5,14.4,-24.0,69,36,69.0
Jackson Porozo,ECU,DEF,2000000,26.8,50.8,23.9,81,7,77.0
Soufiane Rahimi,MAR,MID,2500000,28.0,4.1,-23.9,101,17,101.0
Zakaria El Ouahdi,MAR,DEF,2000000,24.3,0.5,-23.8,41,1,36.0
Nabil 'Dunga' Emad,EGY,MID,2000000,24.9,1.2,-23.7,91,5,85.0
Petar Sucic,CRO,MID,3000000,89.6,65.9,-23.7,20,13,20.0
Martin Zubimendi,ESP,MID,3500000,33.9,10.2,-23.6,69,17,69.0
Malo Gusto,FRA,DEF,4000000,28.8,5.3,-23.5,34,4,30.0
Juan Cabal,COL,DEF,3000000,0.0,23.4,23.4,28,1,17.0
Ante Budimir,CRO,FWD,3500000,32.5,55.8,23.4,77,20,72.0
Luka Vuskovic,CRO,DEF,2000000,78.7,55.4,-23.4,12,4,12.0
Samir El Mourabet,MAR,MID,2000000,29.0,5.7,-23.3,5,1,5.0
Mario Pasalic,CRO,MID,3500000,35.1,11.9,-23.3,144,40,136.0
Gessime Yassine,MAR,MID,2000000,29.0,5.7,-23.3,5,1,5.0
Jhon Arias,COL,MID,3000000,66.8,43.6,-23.3,47,32,47.0
Odildzhon Khamrobekov,UZB,MID,2500000,93.9,70.6,-23.3,96,67,94.0
Yerry Mina,COL,DEF,3000000,33.8,10.6,-23.2,121,46,102.0
Leo Pereira,BRA,DEF,3000000,45.0,68.2,23.2,4,3,4.0
Gabriel Martinelli,BRA,FWD,4000000,29.2,6.2,-23.0,48,8,44.0
Ibrahima Konate,FRA,DEF,3000000,61.6,38.6,-23.0,52,25,47.0
Juan Portilla,COL,MID,2500000,26.7,3.7,-23.0,30,4,30.0
Manu Koné,FRA,MID,3500000,38.0,15.0,-23.0,20,9,18.0
Nikola Vlasic,CRO,MID,3000000,28.7,5.8,-23.0,112,28,108.0
Facundo Medina,ARG,DEF,2500000,24.1,1.2,-22.9,74,2,71.0
Akmal Mozgovoy,UZB,MID,2500000,7.2,30.1,22.9,68,11,68.0
Teun Koopmeiners,NED,MID,3500000,27.7,4.8,-22.9,75,12,60.0
Yazan Al-Arab,JOR,DEF,2500000,87.4,64.5,-22.9,114,67,111.0
Aziz Ganiev,UZB,MID,2500000,73.5,51.0,-22.5,100,15,82.0
Baha'a Faisal,JOR,FWD,2500000,0.0,22.5,22.5,129,32,118.0
Youssef Belammari,MAR,DEF,2000000,36.2,58.6,22.4,39,17,37.0
Patrick Berg,NOR,MID,2500000,35.6,13.2,-22.4,63,24,59.0
Thelo Aasgaard,NOR,MID,2000000,25.6,3.3,-22.3,14,2,14.0
Davinson Sanchez,COL,DEF,3500000,89.4,67.1,-22.3,115,75,112.0
Mousa Tamari,JOR,MID,3000000,84.4,62.1,-22.3,127,63,124.0
Yaimar Medina,ECU,MID,2000000,4.6,26.8,22.2,20,2,20.0
Richard Rios,COL,MID,3500000,89.5,67.2,-22.2,37,23,37.0
Amer Jamous,JOR,MID,2500000,33.5,11.3,-22.2,22,8,22.0
Jean-Philippe Mateta,FRA,FWD,3500000,30.3,8.3,-22.1,8,2,8.0
Nikola Moro,CRO,MID,2500000,25.1,3.0,-22.1,56,4,56.0
Luis Diaz,COL,FWD,5500000,93.2,71.2,-22.0,91,61,87.0
Husam Abu Dahab,JOR,DEF,2000000,33.2,11.2,-22.0,26,8,26.0
Rajaei Ayed,JOR,MID,2500000,28.9,6.9,-22.0,156,34,156.0
Noor Al-Rawabdeh,JOR,MID,2500000,83.1,61.1,-22.0,91,49,84.0
Juan Musso,ARG,GK,4000000,3.7,25.6,21.9,90,2,87.0
Denzel Dumfries,NED,DEF,5000000,92.4,70.7,-21.7,91,65,87.0
Marquinhos,BRA,DEF,5000000,90.3,68.6,-21.6,156,94,146.0
Erling Haaland,NOR,FWD,8500000,93.0,71.4,-21.6,69,48,59.0
Hamdy Fathy,EGY,MID,2500000,85.9,64.5,-21.4,83,45,80.0
Bilal El Khannouss,MAR,MID,3000000,51.8,30.6,-21.2,67,16,67.0
Marc Cucurella,ESP,DEF,4500000,59.1,37.9,-21.2,75,23,75.0
Johan Mojica,COL,DEF,3500000,81.0,60.0,-21.0,136,40,124.0
Brice Samba,FRA,GK,4500000,3.4,24.3,20.9,40,4,40.0
Pedri,ESP,MID,6000000,64.4,43.7,-20.8,73,32,51.0
Jordy Alcivar,ECU,MID,2000000,7.1,27.7,20.6,55,5,53.0
Nicolas Tagliafico,ARG,DEF,4000000,86.9,66.5,-20.4,111,66,109.0
Memphis Depay,NED,FWD,4000000,66.7,46.4,-20.3,149,92,137.0
Bradley Barcola,FRA,MID,4000000,30.0,10.0,-20.0,28,8,25.0
Mark Flekken,NED,GK,4000000,7.4,27.2,19.8,57,11,55.0
Justin Kluivert,NED,MID,2500000,50.1,30.5,-19.6,97,6,89.0
Ederson Moraes,BRA,GK,5000000,30.0,10.5,-19.5,111,31,97.0
Joan Garcia,ESP,GK,4000000,15.0,34.2,19.3,3,1,3.0
Fermin Lopez,ESP,MID,5000000,0.0,19.2,19.2,28,1,22.0
Julian Ryerson,NOR,DEF,3500000,88.0,69.1,-18.9,57,30,57.0
Mikel Merino,ESP,MID,4500000,55.5,36.7,-18.8,81,21,76.0
Pablo Fornals,ESP,MID,3000000,0.0,18.6,18.6,126,2,126.0
Bart Verbruggen,NED,GK,4500000,90.1,71.5,-18.6,39,29,39.0
Altay Bayindir,TUR,GK,3000000,5.8,23.9,18.1,69,10,61.0
Michael Olise,FRA,FWD,7000000,86.0,67.9,-18.1,20,13,20.0
Moises Ramirez,ECU,GK,2500000,9.3,26.8,17.6,62,7,62.0
David Raya,ESP,GK,5000000,10.0,27.5,17.5,55,11,55.0
Oscar Bobb,NOR,MID,3000000,58.0,40.6,-17.4,28,13,20.0
Endrick,BRA,FWD,2500000,20.0,2.7,-17.3,30,2,26.0
Ali Olwan,JOR,FWD,3500000,90.2,73.2,-17.0,79,49,75.0
Issa Diop,MAR,DEF,2500000,87.1,70.5,-16.6,5,4,5.0
Alvaro Montero,COL,GK,4000000,8.9,25.0,16.1,89,9,89.0
Abdulkerim Bardakci,TUR,DEF,3000000,88.6,72.9,-15.7,48,27,46.0
Gonzalo Valle,ECU,GK,3000000,12.6,28.0,15.4,19,3,17.0
Arda Güler,TUR,MID,4500000,88.0,73.3,-14.7,41,23,35.0
Mohamed Salah,EGY,FWD,5000000,65.4,51.0,-14.4,179,109,165.0
Abbosbek Fayzullaev,UZB,MID,2500000,82.5,68.6,-13.9,42,19,39.0
Ayoube Amaimouni-Echghouyab,MAR,MID,2500000,46.5,33.3,-13.2,3,1,3.0
Randal Kolo Muani,FRA,FWD,4500000,0.0,12.8,12.8,47,19,43.0
Mike Maignan,FRA,GK,5000000,82.0,69.5,-12.5,88,39,78.0
Crysencio Summerville,NED,MID,3000000,88.5,100.0,11.5,2,2,2.0
Antonio Nusa,NOR,MID,3500000,82.0,92.3,10.3,30,17,26.0
Moises Caicedo,ECU,MID,3000000,55.0,45.6,-9.4,74,58,74.0
Julian Alvarez,ARG,FWD,6000000,72.0,62.6,-9.4,71,36,71.0
Luiz Henrique,BRA,FWD,3000000,45.0,53.9,8.9,20,5,20.0
Rafael Santos Borre,COL,FWD,4000000,0.0,8.7,8.7,81,25,75.0
Jørgen Strand Larsen,NOR,FWD,3000000,38.0,29.4,-8.6,57,10,52.0
Hakan Calhanoglu,TUR,MID,4000000,46.8,55.2,8.5,145,95,129.0
Jeremie Frimpong,NED,DEF,4000000,0.0,8.1,8.1,37,8,31.0
Youssef En-Nesyri,MAR,FWD,3500000,0.0,8.1,8.1,155,58,146.0
Kerem Akturkoglu,TUR,MID,4500000,66.7,74.6,7.8,62,37,59.0
Eric Garcia,ESP,DEF,3000000,10.5,3.0,-7.6,81,16,77.0
Felix Horn Myhre,NOR,MID,2000000,0.0,7.3,7.3,18,4,16.0
Eliesse Ben Seghir,MAR,MID,3000000,0.0,7.2,7.2,39,13,39.0
Lovro Majer,CRO,MID,2500000,0.0,7.1,7.1,110,17,102.0
El Mehdi Al Harrar,MAR,GK,2500000,0.0,7.0,7.0,30,7,30.0
Mukhammadkodir Khamraliev,UZB,DEF,2500000,0.0,6.9,6.9,30,6,30.0
Eduardo Camavinga,FRA,MID,3000000,0.0,6.9,6.9,77,14,65.0
Deniz Gül,TUR,FWD,2500000,52.2,45.4,-6.8,14,3,14.0
Igor Thiago,BRA,FWD,4000000,25.0,31.8,6.8,4,1,4.0
Evren Eren Elmali,TUR,DEF,2000000,55.9,49.0,-6.8,46,14,45.0
Leonardo Balerdi,ARG,DEF,4000000,47.9,54.4,6.5,76,4,70.0
Nico Gonzalez,ARG,FWD,4000000,53.0,59.4,6.4,30,6,27.0
Nico Paz,ARG,MID,5000000,29.0,22.7,-6.3,17,3,16.0
Gonzalo Montiel,ARG,DEF,3500000,55.0,61.3,6.3,90,26,81.0
Jawad El Yamiq,MAR,DEF,2500000,0.0,6.2,6.2,162,33,155.0
Daniel Vivian,ESP,DEF,3500000,0.0,6.2,6.2,27,7,25.0
Fabian Ruiz,ESP,MID,4500000,58.0,64.0,6.0,89,33,82.0
Mohanad Lasheen,EGY,MID,2500000,69.1,75.0,5.9,74,9,73.0
Douglas Santos,BRA,DEF,2500000,55.0,49.3,-5.7,131,6,127.0
Nilson Angulo,ECU,FWD,2000000,45.0,50.6,5.6,56,8,54.0
Rami Rabia,EGY,DEF,3000000,17.4,11.9,-5.5,156,41,146.0
Mert Günok,TUR,GK,3500000,2.9,8.4,5.5,171,35,158.0
Karim Hafez,EGY,DEF,2000000,30.1,24.9,-5.2,134,7,128.0
Ismail Yüksek,TUR,MID,2500000,62.6,67.8,5.1,43,20,41.0
Jakhongir Urozov,UZB,DEF,2500000,54.0,59.0,5.0,8,3,8.0
Oguz Aydin,TUR,MID,2000000,31.1,26.1,-5.0,29,7,29.0
Jurrien Timber,NED,DEF,2500000,75.5,80.4,4.8,65,18,46.0
Torbjørn Heggem,NOR,DEF,2500000,63.8,68.3,4.6,18,11,18.0
Lautaro Martinez,ARG,FWD,8000000,62.0,66.6,4.6,103,54,93.0
Gabriel Magalhaes,BRA,DEF,4500000,37.4,33.0,-4.5,38,16,33.0
El Mehdi Benabid,MAR,GK,3000000,0.0,4.4,4.4,55,5,55.0
