player_id,player_name,team_id,position,match_no,opponent,start_prob,appearance_prob_used,old_on_pitch_ev,new_on_pitch_ev,old_result_ev,new_result_ev,old_team_scores_ev,new_team_scores_ev,old_opponent_scores_ev,new_opponent_scores_ev,old_weighted_match_ev,new_weighted_match_ev,repair_reason
silvan_widmer__sui,Silvan Widmer,SUI,DEF,3,CAN,0.84,0.96,0.0652,0.0652,0.123839,3.096,0.086986,0.096,-0.062386,-0.0768,1.233436,3.903521,rebuilt_from_match_context_and_appearance_prob
marquinhos__bra,Marquinhos,BRA,DEF,1,MAR,0.9027,0.9027,0.058324,0.058324,0.135326,0.135326,0.061221,0.09027,-0.043377,-0.072216,1.336304,1.336514,rebuilt_from_match_context_and_appearance_prob
marquinhos__bra,Marquinhos,BRA,DEF,2,HAI,0.9027,0.9027,0.058324,0.058324,0.102427,8.184961,0.063584,0.09027,-0.039282,-0.072216,1.657766,9.330237,rebuilt_from_match_context_and_appearance_prob
marquinhos__bra,Marquinhos,BRA,DEF,3,SCO,0.9027,0.9027,0.058324,0.058324,0.072995,5.833067,0.057694,0.09027,-0.046636,-0.072216,1.210154,6.400516,rebuilt_from_match_context_and_appearance_prob
arda_g_ler__tur,Arda Güler,TUR,MID,1,AUS,0.88,0.88,0.0556,0.0556,0.117479,0.117479,0.045723,0.088,-0.038914,-0.0704,1.867449,1.87824,rebuilt_from_match_context_and_appearance_prob
arda_g_ler__tur,Arda Güler,TUR,MID,2,PAR,0.88,0.88,0.0556,0.0556,0.070493,5.6408,0.049539,0.088,-0.035539,-0.0704,1.592367,6.887579,rebuilt_from_match_context_and_appearance_prob
arda_g_ler__tur,Arda Güler,TUR,MID,3,USA,0.88,0.88,0.0556,0.0556,0.066681,5.33588,0.049538,0.088,-0.036756,-0.0704,1.099695,5.84631,rebuilt_from_match_context_and_appearance_prob
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,1,JPN,0.9243,0.9243,0.060916,0.060916,0.099167,0.099167,0.066498,0.09243,-0.0463,-0.073944,1.232548,1.230836,rebuilt_from_match_context_and_appearance_prob
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,2,SWE,0.9243,0.9243,0.060916,0.060916,0.098671,8.716611,0.066499,0.09243,-0.045846,-0.073944,1.464997,9.649981,rebuilt_from_match_context_and_appearance_prob
denzel_dumfries__ned,Denzel Dumfries,NED,DEF,3,TUN,0.9243,0.9243,0.060916,0.060916,0.078296,6.916722,0.062213,0.09243,-0.050363,-0.073944,1.417059,7.577615,rebuilt_from_match_context_and_appearance_prob
bruno_fernandes__por,Bruno Fernandes,POR,MID,1,COD,0.9246,0.9246,0.060952,0.060952,0.166837,0.166837,0.068695,0.09246,-0.045542,-0.073968,1.799209,1.794548,rebuilt_from_match_context_and_appearance_prob
bruno_fernandes__por,Bruno Fernandes,POR,MID,2,UZB,0.9246,0.9246,0.060952,0.060952,0.108594,5.212525,0.069825,0.09246,-0.043947,-0.073968,1.710503,6.552221,rebuilt_from_match_context_and_appearance_prob
bruno_fernandes__por,Bruno Fernandes,POR,MID,3,COL,0.9246,0.9246,0.060952,0.060952,0.076459,3.670015,0.062053,0.09246,-0.051954,-0.073968,0.791886,4.03364,rebuilt_from_match_context_and_appearance_prob
enner_valencia__ecu,Enner Valencia,ECU,FWD,1,CIV,0.8826,0.883,0.05596,0.05596,0.084581,0.084581,0.072009,0.0883,-0.063447,-0.07064,1.230898,1.239996,rebuilt_from_match_context_and_appearance_prob
enner_valencia__ecu,Enner Valencia,ECU,FWD,2,CUW,0.8826,0.883,0.05596,0.05596,0.123797,10.432203,0.082116,0.0883,-0.054082,-0.07064,2.44315,12.226281,rebuilt_from_match_context_and_appearance_prob
enner_valencia__ecu,Enner Valencia,ECU,FWD,3,GER,0.8826,0.883,0.05596,0.05596,0.101065,8.516535,0.077067,0.0883,-0.060253,-0.07064,0.598897,8.173581,rebuilt_from_match_context_and_appearance_prob
thibaut_courtois__bel,Thibaut Courtois,BEL,GK,1,EGY,0.9486,0.9486,0.063832,0.063832,0.133897,0.133897,0.068252,0.09486,-0.046918,-0.075888,1.261044,1.258682,rebuilt_from_match_context_and_appearance_prob
