player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,recency_weight_sum,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
mathieu_choiniere__can,Mathieu Choiniere,CAN,MID,ukendt,Ukendt,36,11,0,2,0,0,2,9.0,2.75,0.0,0.5,0.306,0.0,0.056,0.306,0.0,0.056,0.45,0.1377,0.1377
matias_fernandez_pardo__bel,Matias Fernandez-Pardo,BEL,FWD,ukendt,Ukendt,1,0,0,0,0,0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0
matias_galarza_fonda__par,Matias Galarza Fonda,PAR,MID,ukendt,Ukendt,38,5,0,13,0,0,13,9.5,1.25,0.0,3.25,0.132,0.0,0.342,0.132,0.0,0.342,0.45,0.0594,0.0594
mat_as_vi_a__uru,Matias Viña,URU,DEF,ukendt,Ukendt,75,33,0,21,13,0,8,18.75,8.25,0.0,5.25,0.44,0.0,0.28,0.44,0.0,0.28,0.45,0.198,0.198
matt_freese__usa,Matt Freese,USA,GK,ukendt,Ukendt,22,14,0,2,0,0,2,5.5,3.5,0.0,0.5,0.636,0.0,0.091,0.636,0.0,0.091,0.45,0.2862,0.2862
matt_turner__usa,Matt Turner,USA,GK,ukendt,Ukendt,93,54,0,21,3,0,18,23.25,13.5,0.0,5.25,0.581,0.0,0.226,0.581,0.0,0.226,0.45,0.2614,0.2614
matthew_garbett__nzl,Matthew Garbett,NZL,MID,ukendt,Ukendt,47,28,0,10,2,0,8,11.75,7.0,0.0,2.5,0.596,0.0,0.213,0.596,0.0,0.213,0.45,0.2682,0.2682
matthieu_epolo__cod,Matthieu Epolo,COD,GK,ukendt,Ukendt,10,0,0,1,0,0,1,2.5,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.1,0.45,0.0,0.0
mattias_svanberg__swe,Mattias Svanberg,SWE,MID,ukendt,Ukendt,86,23,0,36,9,0,26,21.5,5.75,0.0,9.0,0.267,0.0,0.419,0.267,0.0,0.419,0.45,0.1202,0.1202
matz_sels__bel,Matz Sels,BEL,GK,ukendt,Ukendt,91,12,0,17,2,0,15,22.75,3.0,0.0,4.25,0.132,0.0,0.187,0.132,0.0,0.187,0.45,0.0594,0.0594
