player_id,player_name,team_id,position,price_m,transfermarkt_player_id,transfermarkt_profile_url,transfermarkt_national_url,transfermarkt_caps_goals_link_found,transfermarkt_table_source,tm_caps,tm_goals,tm_rows_total,tm_appeared_or_started_rows,tm_started_estimate_total,tm_on_bench_total,tm_not_in_squad_total,recent_20_started_estimate,recent_20_on_bench,recent_20_not_in_squad,recent_20_start_share,recent_10_start_share,last_national_row_date,national_team_usage_score,scraped_at
nkosinathi_sibisi__rsa,Nkosinathi Sibisi,RSA,DEF,2.5,399068,https://www.transfermarkt.com/nkosinathi-sibisi/profil/spieler/399068,https://www.transfermarkt.de/nkosinathi-sibisi/nationalmannschaft/spieler/399068/verein_id/3806,True,ceapi_performance_game,20.0,0.0,60,44,15,0,16,6,0,7,0.3,0.4,2026-05-29,0.345,2026-06-05T13:01:12
nishan_velupillay__aus,Nishan Velupillay,AUS,FWD,2.5,888140,https://www.transfermarkt.com/nishan-velupillay/profil/spieler/888140,https://www.transfermarkt.de/nishan-velupillay/nationalmannschaft/spieler/888140/verein_id/3433,True,ceapi_performance_game,7.0,3.0,17,8,2,0,9,2,0,9,0.118,0.0,2026-05-31,0.0929,2026-06-05T13:01:26
nikolas_polster__aut,Nikolas Polster,AUT,GK,2.5,488063,https://www.transfermarkt.com/nikolas-polster/profil/spieler/488063,https://www.transfermarkt.de/nikolas-polster/nationalmannschaft/spieler/488063/verein_id/3383,True,ceapi_performance_game,0.0,0.0,7,5,0,0,2,0,0,2,0.0,0.0,2025-11-18,0.0,2026-06-05T13:01:42
nikola_moro__cro,Nikola Moro,CRO,MID,2.5,316934,https://www.transfermarkt.com/nikola-moro/profil/spieler/316934,https://www.transfermarkt.de/nikola-moro/nationalmannschaft/spieler/316934/verein_id/3556,True,ceapi_performance_game,10.0,0.0,55,27,4,0,28,3,0,2,0.15,0.3,2026-06-02,0.1975,2026-06-05T13:01:56
niko_sigur__can,Niko Sigur,CAN,MID,2.5,1045375,https://www.transfermarkt.com/niko-sigur/profil/spieler/1045375,https://www.transfermarkt.de/niko-sigur/nationalmannschaft/spieler/1045375/verein_id/3510,True,ceapi_performance_game,18.0,2.0,23,22,14,0,1,14,0,1,0.7,0.8,2026-06-02,0.657,2026-06-05T13:02:11
nihad_mujaki__bih,Nihad Mujakic,BIH,DEF,2.5,380919,https://www.transfermarkt.com/nihad-mujakic/profil/spieler/380919,https://www.transfermarkt.de/nihad-mujakic/nationalmannschaft/spieler/380919/verein_id/3446,True,ceapi_performance_game,11.0,1.0,24,21,8,0,3,6,0,3,0.3,0.4,2026-05-29,0.309,2026-06-05T13:02:25
nicolas_seiwald__aut,Nicolas Seiwald,AUT,MID,2.5,404950,https://www.transfermarkt.com/nicolas-seiwald/profil/spieler/404950,https://www.transfermarkt.de/nicolas-seiwald/nationalmannschaft/spieler/404950/verein_id/3383,True,ceapi_performance_game,47.0,1.0,49,48,45,0,1,19,0,0,0.95,0.9,2026-06-01,0.9355,2026-06-05T13:02:39
nicolas_raskin__bel,Nicolas Raskin,BEL,MID,2.5,422763,https://www.transfermarkt.com/nicolas-raskin/profil/spieler/422763,https://www.transfermarkt.de/nicolas-raskin/nationalmannschaft/spieler/422763/verein_id/3382,True,ceapi_performance_game,12.0,1.0,13,13,9,0,0,9,0,0,0.692,0.7,2026-06-02,0.6036,2026-06-05T13:02:53
nicolas_pepe__civ,Nicolas Pepe,CIV,FWD,2.5,343052,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052,https://www.transfermarkt.de/nicolas-pepe/nationalmannschaft/spieler/343052/verein_id/3591,True,ceapi_performance_game,53.0,12.0,111,71,38,0,40,6,0,9,0.3,0.1,2026-06-04,0.39,2026-06-05T13:03:08
nicolas_fonseca__uru,Nicolas Fonseca,URU,MID,2.5,462070,https://www.transfermarkt.com/nicolas-fonseca/profil/spieler/462070,https://www.transfermarkt.de/nicolas-fonseca/nationalmannschaft/spieler/462070/verein_id/3449,True,ceapi_performance_game,6.0,0.0,28,15,2,0,13,2,0,6,0.1,0.1,2026-03-31,0.104,2026-06-05T13:03:23
