player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
baghdad_bounedjah__alg,Baghdad Bounedjah,ALG,FWD,169,58,0.1544,0.1544,0.45,0.3431,0.3431
baha_a_faisal__jor,Baha'a Faisal,JOR,FWD,129,32,0.1116,0.1116,0.45,0.248,0.248
bamba_dieng__sen,Bamba Dieng,SEN,FWD,76,2,0.0117,0.0117,0.45,0.026,0.026
bara_sapoko_ndiaye__sen,Bara Sapoko Ndiaye,SEN,MID,1,1,0.45,0.45,0.45,1.0,1.0
baris_alper_yilmaz__tur,Baris Alper Yilmaz,TUR,FWD,50,18,0.162,0.162,0.45,0.36,0.36
bart_verbruggen__ned,Bart Verbruggen,NED,GK,38,28,0.3316,0.3316,0.45,0.7369,0.7369
bazoumana_toure__civ,Bazoumana Toure,CIV,FWD,14,2,0.0643,0.0643,0.45,0.1429,0.1429
bechir_ben_said__tun,Bechir Ben Said,TUN,GK,83,21,0.1138,0.1138,0.45,0.2529,0.2529
ben_doak__sco,Ben Doak,SCO,MID,19,10,0.2367,0.2367,0.45,0.526,0.526
ben_old__nzl,Ben Old,NZL,MID,43,13,0.1359,0.1359,0.45,0.302,0.302
ben_waine__nzl,Ben Waine,NZL,FWD,43,12,0.1256,0.1256,0.45,0.2791,0.2791
benjamin_asare__gha,Benjamin Asare,GHA,GK,14,10,0.3213,0.3213,0.45,0.714,0.714
benjamin_nygren__swe,Benjamin Nygren,SWE,FWD,14,7,0.225,0.225,0.45,0.5,0.5
benjamin_tahirovic__bih,Benjamin Tahirovic,BIH,MID,32,21,0.2952,0.2952,0.45,0.656,0.656
bento_krepski__bra,Bento Krepski,BRA,GK,28,6,0.0963,0.0963,0.45,0.214,0.214
bernardo_silva__por,Bernardo Silva,POR,MID,142,91,0.2885,0.2885,0.45,0.6411,0.6411
besfort_zeneli__swe,Besfort Zeneli,SWE,MID,14,2,0.0643,0.0643,0.45,0.1429,0.1429
bilal_el_khannouss__mar,Bilal El Khannouss,MAR,MID,66,16,0.1089,0.1089,0.45,0.242,0.242
