player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,218,170,1.9666,1.9666,2.4,0.8194,0.8194
aaron_hickey__sco,Aaron Hickey,SCO,DEF,62,34,3.2164,3.2164,3.9,0.8247,0.8247
aaron_wan_bissaka__cod,Aaron Wan-Bissaka,COD,DEF,18,16,2.2241999999999997,2.2241999999999997,2.4,0.9268,0.9268
abdallah_al_fakhouri__jor,Abdallah Al-Fakhouri,JOR,GK,134,48,2.1330999999999998,2.1330999999999998,3.25,0.6563,0.6563
abdallah_nasib__jor,Abdallah Nasib,JOR,DEF,154,88,2.6912,2.6912,3.25,0.8281,0.8281
abde_ezzalzouli__mar,Abde Ezzalzouli,MAR,FWD,88,58,1.6974,1.6974,2.4,0.7072,0.7072
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,18,15,1.9742,1.9742,2.4,0.8226,0.8226
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,3,2,0.575,0.575,0.8,0.7187,0.7187
abdelmouhib_chamakh__tun,Abdelmouhib Chamakh,TUN,GK,3,2,0.575,0.575,0.8,0.7187,0.7187
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,106,43,1.2812000000000001,1.2812000000000001,2.4,0.5338,0.5338
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,48,35,1.8372,1.8372,2.4,0.7655,0.7655
abdul_fatawu_issahaku__gha,Issahaku Abdul Fatawu,GHA,FWD,84,43,1.6538,1.6538,2.4,0.6891,0.6891
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,130,62,1.51,1.51,2.4,0.6292,0.6292
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,82,47,3.1988,3.1988,3.9,0.8202,0.8202
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,116,48,1.549,1.549,2.4,0.6454,0.6454
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,149,54,1.4253,1.4253,2.4,0.5939,0.5939
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,36,12,1.087,1.087,2.4,0.4529,0.4529
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,79,33,1.492,1.492,2.4,0.6217,0.6217
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,77,19,1.2164,1.2164,2.4,0.5068,0.5068
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,212,152,1.8115999999999999,1.8115999999999999,2.4,0.7548,0.7548
achref_abada__alg,Achref Abada,ALG,DEF,31,12,1.2282,1.2282,2.4,0.5118,0.5118
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,150,97,2.4383,2.4383,3.05,0.7994,0.7994
adam_karabec__holdet_584,Adam Karabec,CZE,MID,100,71,3.3625,3.3625,3.9,0.8622,0.8622
